company_name,company_slug,website,current_signal_code,signal_date,signal_text,source_url,valid_signal_code,action
"2seventy bio (BMS)",2seventy-bio-bms,https://2seventybio.com,expansion_announcement,2026-02-14,"Signal detected",https://www.geneonline.com/bristol-myers-squibb-acquires-cancer-cell-therapy-partner-2seventy-bio-in-286m-deal/,,
"4D Molecular Therapeutics",4d-molecular-therapeutics,https://4dmoleculartherapeutics.com,investment_plan_announced,2024-01-01,"Proprietary Therapeutic Vector Evolution platform; in-house 3K sq ft cGMP manufacturing; ophthalmolo",https://www.stantec.com/en/projects/united-states-projects/-/4d-molecular-therapeutics-cell-gene-therapy-facility-and-r-d-lab,,
"A123 Systems",a123-systems,https://a123systems.com,site_search,2026-02-09,"JLL hired for 3rd NA facility site search - location TBD",https://bostonrealestatetimes.com/a123-systems-appoints-jll-to-support-u-s-expansion-with-new-manufacturing-facility/,,
"AAVantgarde Bio",aavantgarde-bio,https://aavantgarde.com,funding_ladder,2025-11-01,"Italian company; $141M Series B (Nov 2025); uses AGC Biologics CDMO; retinal diseases",https://www.fiercebiotech.com/biotech/italian-biotech-aavantgarde-eyes-143m-series-b-fund-retinal-disease-gene-therapy-trials,,
"ABB",abb,abb.com,new_facility,2025-01-01,"US low-voltage switchgear capacity expansion; SEAM acquisition 2024; domestic production ramp",https://switchgear-magazine.com/tm-news/business/data-centers-surge-but-u-s-grid-faces-hardware-bottlenecks/,,
"ABB Robotics",abb-robotics,https://new.abb.com/,new_facility,2025-01-01,"$280M Sweden robotics hub investment; 50% capacity expansion; potential 2025 spinoff",https://new.abb.com/news/detail/107115/abb-to-invest-280-million-in-its-european-robotics-hub-in-sweden,,
"Abeona Therapeutics",abeona-therapeutics,https://abeonatherapeutics.com,regulatory_milestone,2025-12-01,"ZEVASKYN approved Dec 2025; manufactured at small Cleveland facility; commercial launch underway",https://investors.abeonatherapeutics.com/press-releases/detail/316/zevaskyn-gene-therapy-now-available-at-new-qualified,,
ABL Space Systems,abl-space-systems,https://ablspacesystems.com,,,,,,NO_SIGNAL
Accion Systems,accion-systems,https://accion-systems.com,,,,,,NO_SIGNAL
ACP Composites,acp-composites,https://acpcomposites.com/,,,,,,NO_SIGNAL
Advanced Composites Inc,advanced-composites-inc,https://www.advancedcomposites.com/,,,,,,NO_SIGNAL
Advanced Navigation,advanced-navigation,https://www.advancednavigation.com/,,,,,,NO_SIGNAL
Advanced Space,advanced-space,https://advancedspace.com,,,,,,NO_SIGNAL
Advantest,advantest,advantest.com,,,,,,NO_SIGNAL
Aerojet Rocketdyne,aerojet-rocketdyne,https://aerojetrocketdyne.com,,,,,,NO_SIGNAL
Aerospacelab,aerospacelab,https://aerospacelab.be,,,,,,NO_SIGNAL
"Affinia Therapeutics",affinia-therapeutics,https://affiniatx.com,funding_ladder,2025-10-01,"$40M Series C (Oct 2025); uses Forge Biologics CDMO; cardiovascular and neuro AAV",https://www.prnewswire.com/news-releases/affinia-therapeutics-and-forge-biologics-announce-aav-cgmp-manufacturing-partnership-to-advance-affinia-therapeutics-pipeline-of-next-generation-gene-therapies-to-the-clinic-302301900.html,,
"AGC Inc",agc-inc,agc.com,new_facility,2025-01-01,"59% EUV mask blank market share; 30% capacity expansion by 2025; ¥40B sales target",https://www.agc.com/en/news/detail/1203819_2814.html,,
"Agility Robotics",agility-robotics,https://www.agilityrobotics.com/,new_facility,2025-01-01,"RoboFab facility in Salem OR producing Digit; capacity for 10K units/year",https://spectrum.ieee.org/agility-humanoid-robotics-factory,,
"Agility Robotics",agility-robotics,https://www.agilityrobotics.com/,new_facility,2025-01-01,"RoboFab facility in Salem OR producing Digit; capacity for 10K units/year",https://spectrum.ieee.org/agility-humanoid-robotics-factory,,
Agnikul Cosmos,agnikul-cosmos,https://agnikul.in,,,,,,NO_SIGNAL
Air Products,air-products,airproducts.com,,,,,,NO_SIGNAL
Aixtron,aixtron,aixtron.com,,,,,,NO_SIGNAL
"Ajinomoto",ajinomoto,ajinomoto.com,new_facility,2025-01-01,"JPY 25B ($166M) investment by 2030; 50% ABF capacity expansion; CEO is ABF inventor",https://www.trendforce.com/news/2025/04/01/news-japanese-firm-ajinomoto-to-invest-jpy-25-billion-by-2030-to-expand-abf-production-for-advanced-packaging/,,
Albany Engineered Composites,albany-engineered-composites,https://www.albint.com/,,,,,,NO_SIGNAL
All.Space,all-space,https://all.space,,,,,,NO_SIGNAL
"Allogene Therapeutics",allogene-therapeutics,https://allogene.com,investment_plan_announced,2019-02-01,"118K sq ft Cell Forge 1 facility in Newark CA; allogeneic (off-the-shelf) CAR-T - one production run",https://ir.allogene.com/news-releases/news-release-details/allogene-therapeutics-enters-lease-build-manufacturing-facility/,,
"Amber Bio",amber-bio,https://amber.bio,expansion_announcement,2026-02-14,"Signal detected",https://www.forbes.com/sites/indiarice/2023/08/03/this-startup-just-raised-26-million-to-develop-safer-gene-editing-tools/,,
AMD,amd,amd.com,,,,,,NO_SIGNAL
American Resources / ReElement,american-resources-reelement,https://www.americanresourcescorp.com/,,,,,,NO_SIGNAL
"Amkor Technology",amkor-technology,amkor.com,new_facility,2025-01-01,"Arizona facility expansion; advanced packaging for AI/HPC",https://www.amkor.com/,,
"Amkor Technology",amkor-technology,amkor.com,new_facility,2025-01-01,"Arizona facility expansion; advanced packaging for AI/HPC",https://www.amkor.com/,,
"ams-OSRAM",ams-osram,ams-osram.com,new_facility,2025-02-01,"ams-OSRAM €227M EU Chips Act Funding",https://ams-osram.com/news/press-releases/european-chips-act,,
"ams-OSRAM",ams-osram,ams-osram.com,new_facility,2025-01-01,"€227M EU Chips Act funding Feb 2025; €567M investment by 2030; Austria expansion",https://ams-osram.com/news/press-releases/european-chips-act,,
Analog Devices,analog-devices,analog.com,,,,,,NO_SIGNAL
