# Source: Todd Bot | Synced: 2026-02-08 | Companies: 127
name,website,industry,segment,hq_city,hq_state,employee_count,composite_score,signals,messaging_hook,source_url,signal_type,signal_date,ownership,ticker,notes
Stoke Space,stokespace.com,Space & Aerospace,Launch & Space Access,Kent,WA,,9,$510M Series D + $260M funding; scaling manufacturing for Nova reusable launch vehicle,Manufacturing scale-up support; Kent facility expansion,https://www.stokespace.com/stoke-space-technologies-raises-510-million-to-scale-manufacturing-of-fully-reusable-nova-launch-vehicle/,Event,2025-01,Private,,Nearly $1B total funding in 2025; rapid scale-up
CesiumAstro,cesiumastro.com,Space & Aerospace,Spacecraft Components & Subsystems,Austin,TX,,10,"$470M Series C; building 270,000 sq ft HQ/manufacturing facility; 500+ jobs planned",Major Texas expansion; workforce development programs,https://spacenews.com/cesiumastro-to-scale-operations-with-450-million-in-equity-and-debt-financing/,Event,2026-02,Private,,Texas Space Commission $10M grant; EXIM $200M financing
Blue Origin,blueorigin.com,Space & Aerospace,Launch & Space Access,Kent,WA,,9,New Titusville FL manufacturing facility (100 jobs); Central Texas ~$1B expansion planned,Florida facility expansion; advanced manufacturing,https://www.floridatoday.com/story/tech/science/space/2025/09/26/blue-origin-future-titusville-manufacturing-facility-to-employ-100-workers-in-brevard-county-florida/86350571007/,Event,2025-09,Private,,20 acres manufacturing + 80 acres logistics in Texas
Apex Space,apexspace.com,Space & Aerospace,Spacecraft & Satellite Systems,Los Angeles,CA,,9,"$200M Series C (April 2025); Factory One scaling to 100,000 sq ft; 200+ buses/year capacity",High-rate satellite manufacturing support; LA expansion,https://www.prnewswire.com/news-releases/apex-raises-200-million-in-series-c-funding-to-increase-productized-satellite-bus-manufacturing-302440649.html,Event,2025-04,Private,,Shipped 3 satellites 2024; targeting 10 in 2025
Muon Space,muonspace.com,Space & Aerospace,Spacecraft & Satellite Systems,San Jose,CA,,9,"$146M Series B (June 2025); new 70,000 sq ft facility (10x expansion); acquired Starlight propulsion",San Jose manufacturing expansion; cleanroom capacity,https://www.prnewswire.com/news-releases/muon-space-completes-146-million-series-b-to-scale-satellite-constellations-for-defense-and-commercial-missions-302479524.html,Event,2025-06,Private,,30k sq ft cleanroom across multiple classes
True Anomaly,trueanomaly.space,Space & Aerospace,Data Software & Space Intelligence,Colorado Springs,CO,,8,"90,000 sq ft Long Beach factory expansion; rapid growth in space defense",California manufacturing expansion; defense tech growth,https://www.trueanomaly.space/newsroom/true-anomaly-announces-significant-expansion-into-california-with-long-beach-campus,Event,2025-02,Private,,GravityWorks CO facility + new Long Beach campus
Impulse Space,impulsespace.com,Space & Aerospace,In-Space Services Logistics & Safety,Redondo Beach,CA,,9,$300M Series C (June 2025); NASA orbital transfer contract; scaling manufacturing,Manufacturing scale-up; Mojave test facility,https://www.impulsespace.com/updates/impulse-space-secures-300-million-dollar-series-c-to-accelerate-the-future-of-in-space-mobility,Event,2025-06,Private,,Growing headcount; vertical integration strategy
Ursa Major,ursamajor.com,Space & Aerospace,Launch & Space Access,Berthoud,CO,,9,$14.5M R&D center in Youngstown OH (July 2024); $138M Series D; $25M DoD joint investment,Ohio expansion opportunity; DoD propulsion growth,https://executivebiz.com/2024/07/ursa-major-to-build-new-rocket-propulsion-tech-randd-center-in-ohio/,Event,2024-07,Private,,Additive manufacturing for rocket engines; solid rocket motors
Redwire,redwirespace.com,Space & Aerospace,Spacecraft Components & Subsystems,Jacksonville,FL,,8,"New 65,000 sq ft Longmont CO facility (Oct 2025); 30,000 sq ft Indiana payload center (June 2024)",Colorado expansion; national security space programs,https://rdw.com/newsroom/redwire-expands-footprint-in-colorado-with-opening-of-new-manufacturing-and-testing-facility-to-ramp-up-production-of-national-security-space-hardware/,Event,2025-10,Public,RDW,Floyd County IN microgravity payload development
Umbra,umbra.space,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,Santa Barbara,CA,,8,"New 50,000 sq ft Southern California manufacturing facility (June 2025); new Space Systems business",SAR manufacturing expansion; satellite components sales,https://umbra.space/blog/umbra-expands-u-s-production-capacity-with-move-to-new-50000-sq-ft-manufacturing-facility/,Event,2025-06,Private,,4x imaging throughput with new facility
Planet Labs,planet.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,San Francisco,CA,,8,New Berlin satellite manufacturing facility (Sept 2025); doubling Pelican production capacity,European manufacturing expansion; German government partnership,https://www.businesswire.com/news/home/20250925738688/en/Planet-to-Open-New-Satellite-Manufacturing-Facility-in-Berlin,Event,2025-09,Public,PL,Building satellites in Germany for first time
ICEYE,iceye.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,"Espoo, Finland",,,8,JV with Rheinmetall for SAR manufacturing at Neuss Germany (Q2 2026); Spain manufacturing center; UAE JV,European defense manufacturing; multi-country expansion,https://www.janes.com/osint-insights/defence-news/air/rheinmetall-and-iceye-to-establish-joint-sar-satellite-production,Event,2025-05,Private,,$158M raised in 2024; manufacturing in Germany/Spain/UAE
Loft Orbital,loftorbital.com,Space & Aerospace,Spacecraft & Satellite Systems,San Francisco,CA,,8,"$170M Series C (Jan 2025); Orbitworks JV with 50,000 sq ft facility in Abu Dhabi",Middle East manufacturing partnership; UAE expansion,https://spacenews.com/loft-orbital-raises-170-million-to-accelerate-condosat-business/,Event,2025-01,Private,,First satellite platform assembled in UAE early 2025
Isar Aerospace,isaraerospace.com,Space & Aerospace,Launch & Space Access,"Munich, Germany",,,8,€150M convertible bond (June 2025); Munich production expansion; €220M+ Series C with NATO,European launch manufacturing; Munich facility growth,https://europeanspaceflight.com/isar-aerospace-raises-e150m-through-convertible-bond-agreement/,Event,2025-06,Private,,Building 2nd and 3rd Spectrum rockets; first launch 2025
Firefly Aerospace,fireflyspace.com,Space & Aerospace,Launch & Space Access,Cedar Park,TX,,8,"Doubled Briggs TX facility to 207,000 sq ft (Feb 2024); Rocket Ranch expansion",Texas manufacturing expansion; central Texas aerospace,https://fireflyspace.com/news/firefly-aerospace-doubles-facilities-in-briggs-texas-to-support-medium-launch-vehicle/,Event,2024-02,Private,,MLV medium launch vehicle production
Rocket Lab,rocketlabusa.com,Space & Aerospace,Launch & Space Access,Long Beach,CA,,8,New Space Structures Complex in Baltimore County MD; expanded semiconductor manufacturing (Aug 2025),Maryland facility expansion; national security space programs,https://www.businesswire.com/news/home/20250822243590/en/Rocket-Lab-Announces-Expanded-U.S.-Investments-for-National-Security-Programs-and-Semiconductor-Manufacturing,Event,2025-08,Public,RKLB,65 jobs in MD by Dec 2025; Neutron production at MARS
Relativity Space,relativityspace.com,Space & Aerospace,Launch & Space Access,Long Beach,CA,,8,Flight production started; new horizontal integration facility at launch site; SES contract expansion,Launch infrastructure expansion; 3D printed rockets,https://www.relativityspace.com/press-release/2025/3/7/rycbar123,Event,2025-03,Private,,Terran R in flight production; Stennis testing
Tomorrow.io,tomorrow.io,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,Boston,MA,,8,$175M financing (Feb 2026) for DeepSky AI-native weather satellite constellation,Weather satellite constellation expansion; AI infrastructure,https://www.tomorrow.io/blog/tomorrow-io-announces-175m-financing-to-deploy-deepsky-the-worlds-first-ai-native-weather-satellite-constellation/,Event,2026-02,Private,,First constellation complete; DoD contracts
Starfish Space,starfishspace.com,Space & Aerospace,In-Space Services Logistics & Safety,Tukwila,WA,,8,$29M Series A (Sept 2024); $37.5M STRATFI contract; total funding $63M+,Satellite servicing manufacturing; Otter vehicle development,https://www.starfishspace.com/press-release/starfish-space-secures-29-million-in-new-funding-to-advance-otter-development/,Event,2024-09,Private,,Successful Otter Pup rendezvous mission 2024
Morpheus Space,morpheus-space.com,Space & Aerospace,Spacecraft Components & Subsystems,"Dresden, Germany",,,8,$15M strategic investment (Feb 2026); Reloaded Facility expansion in Dresden; targeting 100 units,European propulsion manufacturing; Dresden expansion,https://www.prnewswire.com/news-releases/morpheus-space-secures-a-15-million-strategic-investment-to-accelerate-mass-production-expansion-302678253.html,Event,2026-02,Private,,GO-2 electric propulsion systems; mass production scale
