company_name,website,industry,segment,sub_segment,signal_code,signal_score,signal_date,signal_text,source_url,messaging_hook
Eaton,eaton.com,Grid,Transformers,Power Distribution,SERIAL_EXPANDER,8,2025-02-12,"$340M for 3rd transformer manufacturing site in Jonesville SC; $1B+ invested since 2023 in North American electrical manufacturing.",https://www.eaton.com/us/en-us/company/news-insights/news-releases/2025/eaton-invests-in-new-south-carolina-transformer-manufacturing.html,"3rd transformer facility announced; $1B+ invested in 2 years in US electrical manufacturing."
First Solar,firstsolar.com,Solar,Modules,Thin Film,SERIAL_EXPANDER,8,2025-11-18,"$330M new Gaffney SC facility (6th US plant); expanding from 14 GW to 17.7 GW by 2027.",https://www.pv-magazine.com/2025/11/18/first-solar-commits-330-million-to-new-us-factory/,"6th US manufacturing facility; capacity growing from 14 GW to 17.7 GW."
Form Energy,formenergy.com,Battery,Storage,Grid Scale,SERIAL_EXPANDER,7,2025-10-22,"Form Factory 1 expanding from 550K to 850K sq ft by end 2025; MOU with Puget Sound Energy for 10 MW/1 GWh project.",https://www.utilitydive.com/news/iron-air-battery-developer-long-duration-storage-form-energy-collaboration-ge-vernova/730633/,"Factory 1 expanding to 850K sq ft; room for future growth; pursuing multiple grid storage projects."
Shield AI,shield.ai,Defense,Autonomous Systems,Drones,FUNDING_LADDER,8,2025-03-06,"$240M at $5.3B valuation; strategic investors include L3Harris and Hanwha Aerospace.",https://shield.ai/shield-ai-raises-240m-at-5-3b-valuation-to-scale-hivemind-enterprise-an-ai-powered-autonomy-developer-platform/,"$240M F-1 round at $5.3B; L3Harris and Hanwha as strategic investors."
Shield AI,shield.ai,Defense,Autonomous Systems,Drones,PRIME_INVESTOR,8,2025-03-06,"L3Harris and Hanwha Aerospace as strategic investors in $240M round.",https://www.prnewswire.com/news-releases/shield-ai-raises-240m-at-5-3b-valuation-to-scale-hivemind-enterprise-an-ai-powered-autonomy-developer-platform-302393843.html,"Defense primes L3Harris and Hanwha taking strategic positions."
Coherent,coherent.com,Semiconductors,Materials,Silicon Carbide,INVESTMENT_PLAN_ANNOUNCED,7,2025-02-06,"CHIPS funding for Easton PA expansion; increasing 150mm and 200mm SiC substrate capacity; 300mm capability milestone Dec 2025.",https://www.nist.gov/chips/coherent-pennsylvania-easton,"CHIPS Act funding for Easton PA SiC expansion; 300mm capability milestone achieved."
Lyten,lyten.com,Battery,Cells,Lithium-Sulfur,FUNDING_LADDER,9,2025-07-28,"$200M+ equity investment; $1B Reno gigafactory planned; $650M Ex-Im Bank LOI; acquired all Northvolt assets.",https://lyten.com/2025/07/28/lyten-secures-more-than-200-million-in-investment-to-support-its-ongoing-acquisition-strategy/,"$200M+ raised; $1B Reno gigafactory; acquired Northvolt assets in Sweden/Germany."
Lyten,lyten.com,Battery,Cells,Lithium-Sulfur,M&A,9,2025-08-07,"Acquired all remaining Northvolt assets in Sweden and Germany; planning to restart operations.",https://lyten.com/2025/08/07/lyten-to-acquire-all-remaining-northvolt-assets-in-sweden-and-germany/,"Acquired Northvolt Ett and Northvolt Labs; planning restart."
Joby Aviation,jobyaviation.com,Aerospace,eVTOL,Air Taxi,FUNDING_LADDER,8,2025-05-01,"$250M first tranche from Toyota; part of long-term strategic investment.",https://www.jobyaviation.com/news/joby-announces-plans-to-double-manufacturing-capacity-in-united-states,"$250M Toyota investment; doubling US manufacturing capacity."
Joby Aviation,jobyaviation.com,Aerospace,eVTOL,Air Taxi,OEM_PARTNER,8,2025-05-01,"Toyota strategic investment supporting capacity expansion; long-term collaboration.",https://ir.jobyaviation.com/news-events/press-releases/detail/165/joby-announces-plans-to-double-manufacturing-capacity-in,"Toyota partnership supporting US capacity doubling."
