Company,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes
Siemens Energy,120,,Fort Payne,DeKalb,Alabama,Grid/Energy/FDI,2026-02,https://www.madeinalabama.com/2026/02/siemens-energy-plans-120-new-jobs-in-dekalb-county-in-u-s-expansion/,German; part of $1B US expansion; electrical components for generators - GRID
KettenWulf,70,34,Auburn,Lee,Alabama,Advanced Mfg/FDI,2026-01,https://www.madeinalabama.com/2026/01/global-chain-manufacturer-kettenwulf-announces-new-manufacturing-operation-in-auburn/,German; conveyor chains/sprockets; 100 year old company
Eli Lilly,450,6000,Huntsville,Madison,Alabama,Life Sciences,2025-12,https://www.madeinalabama.com/2025/12/pharmaceutical-giant-lilly-plans-6-billion-advanced-manufacturing-plant-in-huntsville/,Largest initial investment in AL history; orforglipron GLP-1
Bad Boy Mowers,50,10.5,Monroeville,Monroe,Alabama,Advanced Mfg,2025-12,https://www.madeinalabama.com/2025/12/bad-boy-mowers-plans-10-5-million-tractor-plant-in-monroeville/,Tractor assembly; 9000/year production
Southwire,85,176,Heflin,Cleburne,Alabama,Grid/Wire,2025-11,https://www.madeinalabama.com/2025/11/wire-manufacturer-plans-176-million-expansion-in-cleburne-county/,Wire/cable manufacturer; medium voltage - GRID
Aquatic Leisure Technologies,,,Opp,Covington,Alabama,Advanced Mfg/FDI,2025-11,https://www.madeinalabama.com/2025/11/aquatic-leisure-technologies-to-launch-first-u-s-manufacturing-facility-in-opp/,Australian; fiberglass pools; first US facility
SmartWiz,66,0.125,Birmingham,Jefferson,Alabama,Tech/AI,2025-10,https://www.madeinalabama.com/2025/10/fast-growing-ai-tax-software-firm-smartwiz-to-add-66-high-paying-jobs-in-birmingham/,AI tax software; IRS-approved provider
ArcelorMittal,700,1200,Calvert,Mobile,Alabama,Steel/Metals/FDI,2025-02,https://governor.alabama.gov/newsroom/2025/02/governor-ivey-announces-that-arcelormittal-plans-1-2-billion-alabama-mill-to-produce-electrical-steel/,Luxembourg; electrical steel for EVs/energy - GRID adjacent
Diageo,100,415,Montgomery,Montgomery,Alabama,Food & Bev/FDI,2025-01,https://www.madeinalabama.com/2025/01/diageo-north-america-plans-415-million-alabama-manufacturing-hub/,UK; Smirnoff/Captain Morgan production hub
Wellborn Cabinet,400,,Ashland,Clay,Alabama,Advanced Mfg,2025-10,https://www.madeinalabama.com/2025/10/wellborn-cabinet-celebrates-opening-of-new-alabama-cabinet-plant-targets-400-jobs/,New cabinet plant opening
Owens Corning,100,,Prattville,Autauga,Alabama,Advanced Mfg,2025-09,https://www.madeinalabama.com/2025/09/owens-corning-to-open-state-of-the-art-shingle-manufacturing-facility-in-prattville/,Shingle manufacturing
Fratco,60,,Fort Payne,DeKalb,Alabama,Advanced Mfg,2025-10,https://www.madeinalabama.com/2025/10/fratco-breaks-ground-on-fort-payne-pipe-plant-creating-60-jobs/,Pipe manufacturing
U.S. Space Command,1312,,Huntsville,Madison,Alabama,Defense/Aerospace,2025,https://governor.alabama.gov/newsroom/2025/01/governor-ivey-statement-on-u-s-space-command-headquarters/,Federal HQ; massive job impact
Northrop Grumman,200,92,Huntsville,Madison,Alabama,Defense/Aerospace,2025,https://www.madeinalabama.com/2025/northrop-grumman-expansion-huntsville/,Missile defense systems; two expansions
Performance Drone Works,525,9.1,Huntsville,Madison,Alabama,Defense/Aerospace,2025,https://www.madeinalabama.com/2025/performance-drone-works-huntsville/,Drone manufacturing
Core Scientific,40,424,Auburn,Lee,Alabama,Data Center,2025,https://www.madeinalabama.com/2025/core-scientific-auburn-data-center/,Multi-tenant data center
Samkwang,240,35,Tuskegee,Macon,Alabama,Automotive/FDI,2025,https://www.madeinalabama.com/2025/samkwang-tuskegee/,Korean; injection-molded automotive parts
CPT America,187,163,Tuskegee,Macon,Alabama,Automotive/FDI,2025,https://www.madeinalabama.com/2025/cpt-america-tuskegee/,Steel-stamping automotive parts
International Paper,,260,Selma,Dallas,Alabama,Paper/Pulp,2025,https://www.madeinalabama.com/2025/international-paper-selma-expansion/,Renewable fiber-based products expansion
GE Aerospace,94,57.3,Auburn/Huntsville,Lee/Madison,Alabama,Aerospace,2025,https://www.madeinalabama.com/2025/ge-aerospace-alabama/,Multiple expansions; carbon composites + parts
Georgia Pacific/Alabama River Cellulose,,800,Monroeville,Monroe,Alabama,Paper/Pulp,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Major expansion
Meta/Dotier,70,800,Montgomery,Montgomery,Alabama,Data Center,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Data storage facility
Kronospan,,200,Oxford,Calhoun,Alabama,Wood Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Engineered wood products
Pilgrims,260,90,Russellville,Franklin,Alabama,Food/Poultry,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Poultry processing expansion
DAS North America,101,78,Montgomery,Montgomery,Alabama,Automotive/FDI,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Korean; automotive supplier
Evonik,,78,Theodore,Mobile,Alabama,Chemicals/FDI,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,German; specialty chemicals
U.S. Steel,44,75,Fairfield,Jefferson,Alabama,Steel/Metals,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Steel making and processing
SSAB,12,75,Axis,Mobile,Alabama,Steel/FDI,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Swedish; steel
Constellium,48,69,Muscle Shoals,Colbert,Alabama,Aluminum/FDI,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,French; recycled aluminum
Butting USA,110,62,Loxley,Baldwin,Alabama,Pipe/FDI,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,German; pipe manufacturing
Hwashin America,40,60,Greenville,Butler,Alabama,Automotive/FDI,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Korean; stamped automotive parts
Envision Cold Storage,82,64,Boaz,Marshall,Alabama,Logistics/Cold Chain,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Cold storage facility
Parsons Corporation,198,5,Huntsville,Madison,Alabama,Defense/Tech,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Intelligence services
Ace Aeronautics,189,4.25,Guntersville,Marshall,Alabama,Aerospace/MRO,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,MRO rotorcraft
Kimberly-Clark,29,137,Mobile,Mobile,Alabama,Paper/Consumer,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Paper manufacturing
Jasper Lumber,,95,Jasper,Walker,Alabama,Wood/Forestry,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Lumber expansion
Alabama State Port Authority,25,94,Montgomery,Montgomery,Alabama,Logistics/Port,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Inland port facility
Owens Corning Corporation Prattville,89,325.0,,,Alabama,Asphalt Shingle and Coating Materials Ma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Maximus Meats Summerdale,38,16.8,,,Alabama,Meat Processing and Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Butting USA Inc. Loxley,110,61.7,,,Alabama,Pipe Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Green Health Laboratories Foley,50,3.5,,,Alabama,Testing Laboratories and Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Wayne-Sanderson Farms Union Springs,,10.7,,,Alabama,Poultry Processing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Phoenix Building Solutions Greenville,40,5.0,,,Alabama,Park Model Manufacturer,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Hwashin America Corporation Greenville,40,60.1,,,Alabama,Stamped Automotive Car Parts,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Altex Packaging Inc. Anniston,36,8.0,,,Alabama,Packaging - Wood and Plastic/Foam,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Interstate Sheet Metal Anniston,27,2.1,,,Alabama,Sheet Metal Work Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
AMZ Alabama Inc. Anniston,50,22.0,,,Alabama,Armored Vehicle Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Amazon Oxford,70,15.0,,,Alabama,Distribution and Delivery,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Kronospan Oxford,,200.0,,,Alabama,Engineered Wood Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Doncasters Oxford,76,7.0,,,Alabama,Investment Castings,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Kobay Enstal Oxford,70,12.0,,,Alabama,Automotive Metal Stamping,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Bryant Machine Jacksonville,12,3.2,,,Alabama,Machine Shop,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Changer & Dresser Anniston,18,3.5,,,Alabama,Welding and Soldering Equipment Manufact,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
JOON LLC (AJIN USA) Cusseta,15,3.4,,,Alabama,Automotive Stamping,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Tree Brand Packaging Ranburne,45,20.0,,,Alabama,Wood Pallet Manufacturer,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Hello Chonky Cookie Enterprise,20,10.0,,,Alabama,Cookie Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Constellium Muscle Shoals,48,68.8,,,Alabama,Recycled Aluminum Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Sims Bark Florala,40,8.0,,,Alabama,Mulch Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Aqua Technics (aka Aquatic Leisure) Opp,19,3.1,,,Alabama,Fiberglass Swimming Pool Manufacturer,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Tyson Garden City,20,9.2,,,Alabama,Poultry Processing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Louisiana Pacific Cullman,10,19.6,,,Alabama,OBS Board Manufacturer,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Corrugated Supplies Corporation Cullman,25,21.5,,,Alabama,Corrugated Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Rusken Packaging Cullman,15,25.6,,,Alabama,Corrugated Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SRM Concrete Cullman,20,26.0,,,Alabama,Ready-Mix Concrete Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
North Alabama Fabricating Company Cullman,16,17.7,,,Alabama,Structural Metal,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Cobra Metal Cullman,10,0.5,,,Alabama,Metal Fabrication and Precision Machinin,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
RESRG Automotive Cullman,30,8.0,,,Alabama,Plastic Injected Automotive Parts,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Sovereign American Industries LLC Rainsville,38,2.8,,,Alabama,Industrial Sewing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Nucor Vulcraft Group Fort Payne,,18.9,,,Alabama,Fabricated Structural Metal Manufacturin,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Perdido River Farms/Poarch Band of Creek Indians Atmore,,30.0,,,Alabama,Meat Processing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
SMD Steel Rainbow City,80,9.0,,,Alabama,Plate Work Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Choice Fabricators Rainbow City,30,15.0,,,Alabama,Fabricated Metal Product Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Omaha Track Attalla,10,0.5,,,Alabama,Rail Tie Disposal,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Pilgrims Russellville,260,90.0,,,Alabama,Poultry Processing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Franklin Manufacturing Inc. Russellville,24,6.7,,,Alabama,Fabricated Structural Metal Manufacturin,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
G&G Steel Inc. Russellville,28,5.4,,,Alabama,Fabricated Structural Metal Manufacturin,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Oldcastle Lawn & Garden Abbeville,20,5.4,,,Alabama,Wood Mulch,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Venture Milk LLC Cowarts,23,5.7,,,Alabama,Milk Processing and Yogurt Processing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Qualico Webb,20,10.0,,,Alabama,Steel Fabrication,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Advance Displays Inc. Scottsboro,28,0.8,,,Alabama,Wholesale Distribution Hub,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Yamaha Motor Corporation USA Bridgeport,4,39.0,,,Alabama,Marine Test and Development Facility,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
U.S. Steel Corporation Fairfield,44,75.0,,,Alabama,Steel Making and Processing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Weelth Inc./TaxxWiz,65,0.1,,,Alabama,Tax Prep Software Development,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Valicor Environmental Services Adamsville,30,12.3,,,Alabama,Sustainable Solutions for Waste Manageme,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Stinson Breads LLC Opelika,29,1.3,,,Alabama,Manufacturing Fresh and Frozen Bread,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Oak Bowery Spirits LLC Opelika,20,1.1,,,Alabama,Distillery,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
SCA Inc.,13,19.6,,,Alabama,Plastics Product Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Miele Manufacturing Inc. Opelika,10,2.0,,,Alabama,"Cooking Appliances, Ovens and Range Cook",2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Briggs & Stratton LLC,35,8.2,,,Alabama,Gasoline Engines,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
