Company,Website,HQ Location,Employee Count,Ownership,Ticker,Founded,Parent Company,NAICS,Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Castelion,https://www.castelion.com/,El Segundo CA,,Private,,,2022,,Weapons System,A,Event,"$350M Series B + Project Ranger (1,000-acre NM manufacturing campus)",Dec 2025,10,https://www.castelion.com/news/series-b/,"Your $350M raise and Project Ranger campus signal hypersonic production at scale",Ex-SpaceX founders; complete hypersonic weapons
Cambium,https://cambium-usa.com/,Stealth Mode,,Private,,,Unknown,,Thermal Protection - Materials,A,Event,$100M Series B + Navy ONR TPS contract for phthalonitrile materials,2025,10,https://www.tectonicdefense.com/advanced-materials-startup-cambium-raises-100m-series-b/,"Your $100M raise and Navy contract signal TPS manufacturing scale-up",ApexShield 1000; 80% faster C-C fabrication
Kratos Defense,https://www.kratosdefense.com/,San Diego CA,,Public,KTOS,1994,,Weapons/Testing,A,Event,60 Zeus hypersonic motors ordered from L3Harris + multiple DoD contracts,Dec 2025,10,https://www.kratosdefense.com/newsroom/kratos-issues-letter-of-intent-for-60-full-rate-production-zeus-hypersonic-system-rocket-motors-from-l3harris,"Back-to-back hypersonic contracts signal production expansion",Project Helios; Zeus 1 and Zeus 2 motors
Hermeus,https://www.hermeus.com/,Atlanta GA,,Private,,,2018,,Aircraft/Propulsion,A,Event,$100M Series B (Sam Altman) + USAF contracts for Mach 5 aircraft,Oct 2025,9,https://www.hermeus.com/newsroom-content/hermeus-raises-100-million-series-b-led-by-sam-altman,"Sam Altman backing + Air Force partnership signals hypersonic aircraft momentum",Quarterhorse and Darkhorse aircraft
Dynetics,https://www.leidos.com/,Huntsville AL,,Public,LDOS,1974,Leidos,Glide Body/TPS,A,Event,$670.5M Army contract for common hypersonic glide body and TPS,Nov 2024,9,https://www.govconwire.com/articles/dynetics-670m-army-contract-for-hypersonic-system,"$670M Army contract suggests major production ramp-up in Huntsville",Leidos subsidiary; 5-year contract
Anduril Industries,https://www.anduril.com/,Costa Mesa CA,,Private,,,2017,,Weapons/Propulsion,A,Event,$19M Navy SM-6 contract + Denali booster successful tests,2024-2025,8,https://www.designdevelopmenttoday.com/industries/military/news/22927560/andurils-denali-takes-on-affordable-hypersonic-propulsion,"Denali progress and Navy contract point to SRM scale-up",Palmer Luckey; bladeless speed mixing
X-Bow Systems,https://www.xbowsystems.com/,Albuquerque NM,,Private,,,2016,,Solid Rocket Motors,A,Event,DoD contract expansion + Texas campus expansion,Dec 2024,8,https://www.prnewswire.com/news-releases/x-bow-to-receive-additional-funding-for-expansion-of-dod-contract-for-hypersonic-solid-rocket-motor-development-302337560.html,"DoD expanding your SRM contract - scaling fast on Texas campus",Additive manufacturing for rocket motors
Ursa Major,https://ursamajor.com/,Berthoud CO,,Private,,,2015,,Propulsion,A,Event,$28.6M AFRL contract + Teledyne D3I partnership for hypersonic targets,May 2025,8,https://ursamajor.com/media/press-release/afrl-awards-ursa-major-usd28-6m-contract/,"AFRL contract and Teledyne partnership position you as propulsion leader",Draper engine; ex-SpaceX/Blue Origin founder
Stratolaunch,https://www.stratolaunch.com/,Mojave CA,,Private,,,2011,,Test Platform,A,Event,Reusable Talon-A2 hypersonic flight + MDA MACH-TB contract (5 flights),Mar 2025,8,https://www.stratolaunch.com/news/stratolaunch-successfully-completes-reusable-hypersonic-flight-and-recovery-with-talon-a2-vehicle/,"Reusable hypersonic testbed success - full flight manifest",Paul Allen founded; Roc carrier aircraft
Northrop Grumman,https://www.northropgrumman.com/,Elkton MD,,Public,NOC,1939,,Solid Rocket Motors,A,Event,$94.3M Navy SSRM contract for 21-inch second-stage motors,Jan 2026,8,https://news.northropgrumman.com/srm/US-Navy-Selects-Northrop-Grumman-for-Second-Stage-Solid-Rocket-Motor-Program,"New Navy SSRM contract expands motor production at Elkton",Propulsion Innovation Center
