Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Hitachi Energy,hitachienergy.com,"Zurich, Switzerland",Switzerland,,Public,Hitachi,2020,Transformers,Power Transformers,A,Event,"$1B+ US investment; $457M South Boston VA 2nd facility Sept 2025; $106M Alamo TN expansion; $6B global 2024",2025,10,https://www.manufacturingdive.com/news/hitachi-unveils-1b-grid-manufacturing-investment-virginia-transformer/759512/,$1B US grid investment; VA + TN expansion,Global transformer leader
Siemens Energy,siemens-energy.com,"Munich, Germany",Germany,,Public,ENR.DE,2020,Transformers + Grid,Power + Distribution,A,Event,"US transformer factory expansion; dry-transformer facilities; grid solutions growth",2025,8,https://www.npcelectric.com/news/transformer-market-2025-performance-and-2026-outlook.html,US manufacturing expansion,Integrated grid solutions
Eaton,eaton.com,"Dublin, Ireland",Ireland,,Public,ETN,1911,Transformers + Switchgear,Distribution + Switchgear,A,Event,"$340M Jonesville SC 3rd transformer facility Feb 2025; $1B+ NA investment since 2023; production 2027",2025,9,https://www.eaton.com/us/en-us/company/news-insights/news-releases/2025/eaton-invests-in-new-south-carolina-transformer-manufacturing.html,$340M SC transformer plant; $1B+ since 2023,Electrical solutions leader
GE Vernova,gevernova.com,"Cambridge, MA",USA,,Public,GEV,2024,Grid Solutions,Transformers + Switchgear + HVDC,A,Event,"$20M Charleroi PA switchgear + Clearwater FL expansion; HVDC expertise; utility-scale grid solutions",2025,8,https://www.reuters.com/business/energy/grid-equipment-makers-invest-us-ease-supply-shortage--reeii-2025-12-02/,PA + FL grid expansion,GE power grid spinoff
ABB,abb.com,"Zurich, Switzerland",Switzerland,,Public,ABBN.SW,1988,Switchgear + Transformers,Low + Medium Voltage,A,Event,"US low-voltage switchgear capacity expansion; SEAM acquisition 2024; domestic production ramp",2025,8,https://switchgear-magazine.com/tm-news/business/data-centers-surge-but-u-s-grid-faces-hardware-bottlenecks/,US switchgear manufacturing expansion,Global electrical equipment leader
Schneider Electric,se.com,"Rueil-Malmaison, France",France,,Public,SU.PA,1836,Switchgear + Grid,Data Center + Distribution,A,Tailwind,"Broad energy management portfolio; strong data center position; ASCO critical power brand; US manufacturing",2025,7,https://medium.com/@_mh/switchgear-cables-and-gensets-the-quiet-winners-of-the-ai-data-center-boom-1c01bd41a67c,Data center electrical leader,Energy management + automation
Prolec GE,prolec.energy,"Monterrey, Mexico",Mexico,,JV,Xignux + GE,1994,Transformers,Medium + Large Power,A,Event,"$140M North Carolina facility 2025 doubling capacity; acquired SPX Waukesha; 144K sqft NC plant",2025,9,https://finance.yahoo.com/news/u-transformers-industry-research-report-080100983.html,$140M NC + Waukesha facilities,Xignux + GE Vernova JV
Virginia Transformer Corp,vatransformer.com,"Roanoke, VA",USA,,Private,,1971,Transformers,Power + Distribution,A,Event,"Largest US-owned transformer maker; 6 facilities (Roanoke + Troutville VA + Rincon GA + Pocatello ID); IPM production",2025,9,https://en.wikipedia.org/wiki/Virginia_Transformer_Corporation,Largest US-owned; 6 facilities,Founded for Appalachian mining
SPX Transformer Solutions,spxtransformersolutions.com,"Waukesha, WI",USA,,Private,,1969,Transformers,Large Power,A,Event,"$70M Waukesha expansion; Goldsboro NC 50th anniversary; 1200+ US employees; 5-1200 MVA up to 345kV",2025,8,https://www.spx.com/spx-transformer-solutions-goldsboro-north-carolina-facility-celebrates-50th-anniversary/,Waukesha + Goldsboro manufacturing,Now part of Prolec GE family
ERMCO,ermco-eci.com,"Dyersburg, TN",USA,3500,Private,,1971,Transformers,Distribution,A,Event,"9 millionth transformer milestone Jun 2025; 3500+ employees; utility + renewable + commercial markets",2025,8,https://www.ermco-eci.com/ermco-nine-millionth-transformer/,9M+ transformers; Tennessee manufacturing,Major US distribution transformer maker
Howard Industries,howard-ind.com,"Laurel, MS",USA,,Private,,1969,Transformers,Distribution,B,Tailwind,"Mississippi manufacturing; major US distribution transformer maker; utility supplier; employee-owned",2024,6,https://www.newton-evans.com/a-mid-2024-assessment-of-the-u-s-distribution-transformer-industry/,Mississippi transformer manufacturing,Employee-owned manufacturer
Delta Star,deltastar.com,"Lynchburg, VA",USA,,Private,,1908,Transformers,Medium + Large Power,B,Tailwind,"Virginia manufacturing; US-owned since 1908; power transformer specialist; 115+ years",2024,6,https://www.zetwerk.com/en-us/resources/knowledge-base/transformers/list-of-transformer-manufacturing-companies-in-usa/,Virginia transformer manufacturing,US-owned 115+ years
Hyosung Heavy Industries,hyosungheavyindustries.com,"Seoul, Korea",Korea,,Public,298040.KS,1962,Transformers,Power + STATCOM,A,Event,"Hyosung HICO Memphis TN expanding Nov 2025 (2nd time in 6 months); doubling US output to 150 units/year; $720B won investment",2025,9,https://www.kedglobal.com/energy/newsView/ked202503030002,Memphis TN doubling capacity,Korean T&D + STATCOM leader
Mitsubishi Electric,mitsubishielectric.com,"Tokyo, Japan",Japan,,Public,6503.T,1921,Transformers + Switchgear,Power Systems,B,Tailwind,"Memphis TN manufacturing; Japanese quality; power systems + grid automation focus",2024,6,https://www.zetwerk.com/en-us/resources/knowledge-base/transformers/list-of-transformer-manufacturing-companies-in-usa/,Tennessee manufacturing,Japanese electrical giant
