Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
NuScale Power,nuscalepower.com,"Portland, OR",USA,,Public,SMR,2007,SMR Developer,Light Water PWR,A,Event,"Only NRC-certified SMR design (Jan 2023); 6 GW TVA partnership Sept 2025; ENTRA1 deployment program",2025,10,https://exoswan.com/small-modular-reactor-stocks,Only NRC-certified SMR; TVA 6 GW partnership,77 MWe modules; VOYGR plant design
TerraPower,terrapower.com,"Bellevue, WA",USA,,Private,,2008,SMR Developer,Sodium Fast Reactor,A,Event,"Wyoming Natrium plant under construction; state permit approved Jan 2025; training center Aug 2025; DOE ARDP funding",2025,10,https://www.ans.org/news/2025-01-16/article-6690/wyoming-oks-construction-of-terrapowers-natrium-plant/,Kemmerer WY plant under construction; Bill Gates backed,345 MWe + molten salt storage
X-energy,x-energy.com,"Rockville, MD",USA,,Private,,2009,SMR Developer,High-Temp Gas-Cooled,A,Event,"Oak Ridge TRISO fuel facility construction Nov 2025; Dow Seadrift TX 4-unit plant; operations 2027",2025,10,https://x-energy.com/media/news-releases/x-energy-begins-vertical-construction-for-first-in-the-nation-advanced-nuclear-fuel-fabrication-facility,Oak Ridge fuel facility + Dow Texas plant,Xe-100 reactor; TRISO fuel
Oklo,oklo.com,"Santa Clara, CA",USA,,Public,OKLO,2013,SMR Developer,Fast Reactor,A,Event,"12 GW Switch data center deal through 2044; Idaho plant groundbreaking Sept 2025; $2B fuel development funding",2025,10,https://en.wikipedia.org/wiki/Oklo_Inc.,12 GW data center deal; Sam Altman backed,Aurora powerhouse; fast neutron reactor
Kairos Power,kairospower.com,"Alameda, CA",USA,,Private,,2016,SMR Developer,Molten Salt-Cooled,A,Event,"Hermes reactor nuclear construction started May 2025 in Oak Ridge TN; first commercial reactor next decade",2025,9,https://kairospower.com/external_updates/kairos-power-begins-nuclear-construction-of-hermes-demonstration-reactor/,Hermes TN reactor under construction,KP-FHR; TRISO fuel with Flibe coolant
Radiant Industries,radiantnuclear.com,"El Segundo, CA",USA,,Private,,2020,Microreactor,Portable/Mobile,A,Event,"$300M+ funding Dec 2025; DOE partnerships; portable microreactor commercialization scale-up",2025,9,https://www.powermag.com/advanced-nuclear-developers-raise-new-capital-as-2025-investment-hits-record-levels-and-demonstrations-near/,$300M raise; portable reactor manufacturing,Kaleidos microreactor; defense + remote
Last Energy,lastenergy.com,"Washington, DC",USA,,Private,,2020,Microreactor,Modular PWR,A,Event,"$32B commercial agreements; UK nuclear licensing Feb 2025 (first since 1978); Wales microreactor 2026; $103M debt",2025,9,https://en.wikipedia.org/wiki/Last_Energy,First UK nuclear license since 1978; 2026 deployment,PWR-20; 24-month delivery timeline
Holtec International,holtecinternational.com,"Camden, NJ",USA,,Private,,1986,SMR Developer,Light Water PWR,A,Event,"$400M DOE funding Dec 2025; SMR-300 multi-site deployment; Palisades plant restart",2025,9,https://world-nuclear-news.org/articles/two-smr-projects-selected-for-us-federal-funding,$400M DOE; fleet-scale model,SMR-300 (formerly SMR-160); Palisades
GE Hitachi Nuclear Energy,gevernova.com/nuclear,"Wilmington, NC",USA,,Public,GEV,2007,SMR Developer,Boiling Water,A,Event,"$400M DOE grant Dec 2025 for TVA deployment; BWRX-300 first US commercial SMR; £33.6M UK grant",2025,9,https://www.gevernova.com/news/press-releases/us-department-energy-announces-400-million-funding-accelerate-deployment-nation-first-commercial-small-modular-nuclear-reactor,$400M DOE; TVA partnership; UK expansion,BWRX-300; 300 MWe simplified BWR
Westinghouse Electric,westinghousenuclear.com,"Cranberry Township, PA",USA,,Private,Brookfield,1886,SMR Developer,Light Water PWR,B,Event,"AP300 SMR design based on AP1000; NRC pre-application engagement; proven technology advantage",2025,7,https://westinghousenuclear.com/new-plants/ap300-smr/,AP300 based on proven AP1000 design,300 MWe; 70+ years nuclear experience
Rolls-Royce SMR,rolls-royce-smr.com,"London, UK",UK,,Private,Rolls-Royce,2021,SMR Developer,Light Water PWR,B,Event,"UK national champion; Great British Nuclear selected; targeting 2030s deployment",2025,7,https://www.nuclearbusiness-platform.com/media/insights/top-5-smr-tech,UK flagship SMR; government backed,470 MWe; factory-built modules
ARC Clean Technology,arccleantech.com,"Saint John, NB",Canada,,Private,,2017,SMR Developer,Sodium Fast Reactor,B,Event,"Series B closed Dec 2025 for ARC-100 commercialization; Canadian CNSC licensing; New Brunswick site",2025,7,https://www.powermag.com/advanced-nuclear-developers-raise-new-capital-as-2025-investment-hits-record-levels-and-demonstrations-near/,Series B for Canadian SMR commercialization,ARC-100; 100 MWe sodium-cooled
Newcleo,newcleo.com,"London, UK",UK,,Private,,2021,SMR Developer,Lead-Cooled Fast Reactor,B,Event,"€1B+ funding; UK + Italy focus; MOX fuel recycling; targeting European market",2025,7,https://www.ipo.club/blog/smr-report-june-2025,European lead-cooled reactor; €1B+ raised,200-400 MWe; nuclear waste recycling
BWX Technologies,bwxt.com,"Lynchburg, VA",USA,,Public,BWXT,1867,Components/Fuel,Reactor Components,A,Tailwind,"US Navy nuclear propulsion monopoly; TRISO fuel production; DOE contracts; advanced reactor components",2025,8,https://www.bwxt.com/,Navy nuclear + advanced reactor components,Only US naval reactor manufacturer
Centrus Energy,centrusenergy.com,"Bethesda, MD",USA,,Public,LEU,1998,Fuel,HALEU Production,A,Event,"First US HALEU production Oct 2023; DOE contract expansion; critical for advanced reactors",2024-2025,8,https://www.centrusenergy.com/,Only US HALEU producer; essential for SMRs,Supplies all US advanced reactor fuel
Ultra Safe Nuclear,usnc.com,"Seattle, WA",USA,,Private,,2011,Fuel/SMR,Fuel + Microreactor,B,Event,"FCM fuel technology; micro modular reactor; DOD Project Pele partnership",2024-2025,6,https://www.usnc.com/,FCM fuel + microreactor development,Fully ceramic micro-encapsulated fuel
Nuward (EDF),nuward.eu,"Paris, France",France,,Private,EDF Group,2019,SMR Developer,Light Water PWR,B,Event,"EDF subsidiary; design simplification Jan 2025; new reactor concept by mid-2026; France first concrete 2030 target",2025,6,https://www.world-nuclear-news.org/articles/edf-simplifies-nuward-smr-design,French national SMR champion; EDF backed,2x170 MWe twin-reactor design
