Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
TSMC,tsmc.com,"Hsinchu, Taiwan / Phoenix, AZ",Taiwan,,Public,TSM,1987,Fabs,Leading-Edge Logic,A,Event,"$165B total US investment announced Mar 2025; $65B Arizona 3-fab complex; Fab 1 producing Q4 2024; 900 acres purchased for expansion; 6 fabs + 2 packaging plants planned",2025-03,10,https://pr.tsmc.com/english/news/3210,$165B US commitment; Arizona mega-complex,World's largest foundry; N4 and N3 in AZ
Intel,intel.com,"Santa Clara, CA",USA,,Public,INTC,1968,Fabs,Leading-Edge Logic,A,Event,"$8.5B CHIPS Act award; Fab 52 Chandler opened Oct 2025; $100B Ohio megafab (2 fabs); 18A process; Intel Foundry Services",2025,9,https://www.nist.gov/chips/intel-corporation-arizona-chandler,Ohio + Arizona expansion; IDM 2.0,Largest US-owned chipmaker
Samsung Foundry,samsung.com/semiconductor,"Suwon, South Korea / Taylor, TX",Korea,,Public,005930.KS,1969,Fabs,Leading-Edge Logic,A,Event,"$44B Taylor Texas fab (delayed to 2027); $250M Texas state grant; 2nm GAA planned",2025,7,https://koreajoongangdaily.joins.com/news/2025-08-27/business/industry/Exclusive-Taylor-plots-hightech-cluster-as-Samsungs-37B-chip-fab-nears-completion/2383950,Taylor Texas mega-fab; delayed but committed,2000+ jobs planned
GlobalFoundries,gf.com,"Malta, NY",USA,,Public,GFS,2009,Fabs,Mature Nodes,A,Event,"$16B US investment Jun 2025; $1.5B CHIPS award; Malta NY 358K sqft new fab; Vermont modernization; advanced packaging center",2025-06,9,https://gf.com/gf-press-release/globalfoundries-announces-16b-u-s-investment-to-reshore-essential-chip-manufacturing-and-accelerate-ai-growth/,NY + Vermont expansion; mature node leader,Essential chips for auto/IoT/defense
Micron,micron.com,"Boise, ID",USA,,Public,MU,1978,Fabs,Memory,A,Event,"$6.4B CHIPS funding; 2nd Boise fab announced Jun 2025; NY Clay megafab ($100B); Virginia expansion; HBM manufacturing in US",2025-06,9,https://investors.micron.com/news-releases/news-release-details/micron-and-trump-administration-announce-expanded-us-investments,Idaho + NY + VA expansion; HBM for AI,Only US-owned memory manufacturer
Texas Instruments,ti.com,"Dallas, TX",USA,,Public,TXN,1951,Fabs,Specialty/Analog,A,Event,"$60B+ across 7 fabs in Texas and Utah; Sherman TX fab opened Dec 2025; 300mm analog leader; largest foundational chip investment in US history",2025-12,9,https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-begins-production-at-its-newest-300mm-semiconductor-manufacturing-facility-in-sherman-texas.html,Sherman producing; $60B commitment,Analog/embedded chip leader
Wolfspeed,wolfspeed.com,"Durham, NC",USA,,Public,WOLF,1987,Fabs,Specialty/SiC,A,Event,"World's largest SiC fab in Siler City NC (topped out Mar 2024); Marcy NY expansion; CHIPS preliminary terms Oct 2024; 59 SEC filings mentioning expansion/capacity",2024-2025,9,https://www.nist.gov/news-events/news/2024/10/biden-harris-administration-announces-preliminary-terms-wolfspeed-solidify,SiC leader; NC + NY expansion; HIGH SEC SIGNAL ACTIVITY,Silicon carbide for EVs/power; CIK 895419
ON Semiconductor,onsemi.com,"Scottsdale, AZ",USA,,Public,ON,1999,Fabs,Specialty/SiC,A,Event,"SiC fab expansion South Korea completed; US CHIPS funding for SiC epitaxial expansion",2024-2025,7,https://www.semiconductors.org/chip-supply-chain-investments/,SiC power semiconductor expansion,Auto and industrial power
SK Hynix,skhynix.com,"Icheon, South Korea",Korea,,Public,000660.KS,1983,Fabs,Memory,B,Event,"Indiana packaging facility with Purdue ($3.87B); HBM leader for NVIDIA",2024-2025,6,https://www.semiconductors.org/chip-supply-chain-investments/,Indiana advanced packaging; HBM leader,NVIDIA's HBM supplier
ASML,asml.com,"Veldhoven, Netherlands / Wilton, CT",Netherlands,,Public,ASML,1984,Equipment (Front-End),Lithography,A,Event,"$200M Connecticut expansion; 1000 new jobs; EUV monopoly; critical to all leading-edge fabs",2025,9,https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,Connecticut expansion; EUV monopoly,Only EUV lithography supplier globally
Applied Materials,appliedmaterials.com,"Santa Clara, CA",USA,,Public,AMAT,1967,Equipment (Front-End),Deposition/Etch/CMP,A,Event,"$200M Arizona investment; $400M+ US expansion; Apple partnership; 6th consecutive growth year FY2025",2025,8,https://www.trendforce.com/news/2025/09/02/news-applied-materials-reportedly-sees-limited-u-s-incentive-effect-offers-nuanced-view-on-china/,Arizona expansion; Apple partnership,Largest semiconductor equipment company
Lam Research,lamresearch.com,"Fremont, CA",USA,,Public,LRCX,1980,Equipment (Front-End),Etch/Deposition,A,Event,"$65M Oregon Tualatin facility opened Nov 2025; 700 workers; R&D expansion for AI chips",2025-11,8,https://www.oregonlive.com/silicon-forest/2025/11/lam-research-opens-65-million-tualatin-office-with-room-for-700-workers.html,Oregon R&D expansion,Etch and deposition leader
