company_name,website,industry,segment,sub_segment,signal_code,signal_score,signal_date,signal_text,source_url,messaging_hook
Apptronik,apptronik.com,Robotics,Humanoid,Industrial,FUNDING_LADDER,9,2026-02-10,"$520M Series A extension brings total to $935M; humanoid robot Apollo production scaling.",https://news.crunchbase.com/venture/ai-humanoid-robot-funding-apptronik/,"$935M total funding; humanoid robotics VC funding up 300% YoY."
Tower Semiconductor,towersemi.com,Semiconductors,Foundry,Specialty,INVESTMENT_PLAN_ANNOUNCED,8,2026-02-11,"$270M investment for SiPho (silicon photonics) capacity expansion; primary provider for 1.6T transceivers.",https://www.globenewswire.com/news-release/2026/02/11/3236139/0/en/Tower-Semiconductor-Reports-Record-Revenue-for-the-Fourth-Quarter-of-2025.html,"$270M SiPho expansion; record Q4 revenue; primary provider for 1.6T transceivers."
Apple,apple.com,Tech,Consumer Electronics,Devices,INVESTMENT_PLAN_ANNOUNCED,7,2026-02-11,"$500B+ US investment over 4 years; new Texas factory; doubling Advanced Manufacturing Fund; multibillion commitment to TSMC Arizona Fab 21.",https://www.apple.com/newsroom/2025/02/apple-will-spend-more-than-500-billion-usd-in-the-us-over-the-next-four-years/,"$500B+ US commitment; new Texas factory; doubling Advanced Manufacturing Fund."
Applied Optoelectronics,ao-inc.com,Semiconductors,Optical,Transceivers,INVESTMENT_PLAN_ANNOUNCED,8,2026-02-10,"$300M investment / 500 jobs; new 210K sq ft facility in Sugar Land TX; groundbreaking Feb 10.",https://www.quiverquant.com/news/Applied+Optoelectronics,+Inc.+Breaks+Ground+on+New+Manufacturing+Facility+in+Sugar+Land,+Texas,+Committing+to+$300+Million+Investment+and+500+Jobs,"$300M / 500 jobs; new 210K sq ft facility in Sugar Land TX."
Echodyne,echodyne.com,Defense,Radar,Counter-Drone,INVESTMENT_PLAN_ANNOUNCED,8,2026-02-11,"New 86K sq ft facility for 30K+ radars/year production capacity; major expansion for defense/counter-drone demand.",https://www.businesswire.com/news/home/20260211768604/en/Echodyne-to-Open-Major-New-Manufacturing-Facility-to-Meet-Rapidly-Growing-Global-Demand,"86K sq ft facility; 30K+ radars/year capacity; counter-drone demand driving expansion."
Hadrian,hadrian.co,Defense,Manufacturing,Precision Parts,FUNDING_LADDER,8,2025-07-01,"$260M Series C led by Founders Fund and Lux Capital; defense manufacturing startup.",https://www.startus-insights.com/innovators-guide/defense-industry-report/,"$260M Series C; Founders Fund + Lux Capital backing defense manufacturing."
Trener Robotics,trenerrobotics.com,Robotics,Software,AI Skills,FUNDING_LADDER,7,2026-02-10,"$32M Series A for robot skills platform; total funding now $38M+.",https://www.axios.com/pro/all-deals/2026/02/10/trener-robotics-32m-ai-robot-skills,"$32M Series A; robot skills platform for manufacturing."
Nauticus Robotics,nauticusrobotics.com,Robotics,Marine,Autonomous,FUNDING_LADDER,7,2026-02-08,"Up to $50M UAE strategic investment + planned UAE manufacturing facility.",https://www.stocktitan.net/news/KITT/nauticus-robotics-tm-announces-strategic-investment-and-uae-p3t5fbe4cbt6.html,"$50M UAE investment; planned manufacturing facility."
Allonic,allonic.com,Robotics,Hardware,End Effectors,FUNDING_LADDER,6,2026-02-10,"$7.2M pre-seed with OpenAI backing; robotic hardware manufacturing platform.",https://www.eu-startups.com/2026/02/with-openai-backing-allonic-raises-e6-million-for-robotic-body-manufacturing-platform,"$7.2M pre-seed; OpenAI-backed robotic hardware manufacturing."
Nuro,nuro.ai,Robotics,Autonomous,Delivery,FUNDING_LADDER,8,2026-01-01,"$600M raised after surpassing 2M autonomous deliveries globally.",https://intellizence.com/insights/startup-funding/startup-funding-trends-january-2026-ai-infrastructure-and-robotics/,"$600M raised; 2M+ autonomous deliveries milestone."
PharmaEssentia,pharmaessentia.com,Life Sciences,Pharma,Biologics,INVESTMENT_PLAN_ANNOUNCED,7,2026-02-09,"$46M Puerto Rico plant for BESREMi manufacturing; US supply chain security.",https://www.biospace.com/business/pharmaessentia-shores-up-supply-with-46m-investment-in-puerto-rico-plant,"$46M Puerto Rico manufacturing plant for BESREMi."
Blue Pony Energy,blueponyenergy.com,Energy,Clean Fuels,Synthetic,INVESTMENT_PLAN_ANNOUNCED,7,2026-02-10,"$1.6B clean fuels facility in Lovington NM; 90+ jobs; $4.6B economic impact.",https://www.expansionsolutionsmagazine.com/blue-pony-energy-selects-lovington-new-mexico/,"$1.6B facility in Lovington NM; synthetic low-carbon fuels."
Grand River Aseptic Manufacturing,grandriveraseptic.com,Life Sciences,CDMO,Fill/Finish,INVESTMENT_PLAN_ANNOUNCED,7,2026-02-15,"New large-scale aseptic fill/finish facility in Grand Rapids MI; tripled footprint.",https://www.pharmtech.com/view/grand-river-aseptic-manufacturing-opens-large-scale-injectable-fillfinish-facility,"Large-scale fill/finish facility opened; 3x existing footprint."
Hanwha Aerospace,hanwhaaerospace.com,Defense,Ground Systems,Artillery,US_ENTITY_FORMATION,7,2026-02-11,"Breaking ground on first European K9 production facility in Romania; Hanwha Aerospace Romania subsidiary established 2025.",https://defence-industry.eu/hanwha-aerospace-breaks-ground-on-first-european-k9-production-facility-in-romania/,"First European K9 production facility in Romania; expanding allied nation footprint."
LeoLabs,leolabs.space,Space,Ground Systems,Tracking,CONTRACT_WIN,7,2025-12-31,"$60M+ in contracts for 2025; new radar expansions planned for space debris tracking.",https://www.investegate.co.uk/announcement/rns/seraphim-space-investment-trust--ssit/spacetech-sector-newsletter-january-2026/9420135,"$60M+ contracts; radar expansions for space domain awareness."
D-Orbit,dorbit.space,Space,Logistics,Deployment,FUNDING_LADDER,7,2025-12-31,"$53M raised for expansion and acquisitions.",https://www.investegate.co.uk/announcement/rns/seraphim-space-investment-trust--ssit/spacetech-sector-newsletter-january-2026/9420135,"$53M raised; space logistics expansion."
Cabaletta Bio,cabalettabio.com,Life Sciences,Cell Therapy,CAR-T,REGULATORY_MILESTONE,8,2026-02-01,"Pivotal myositis trial started; FDA-cleared Cellares automated manufacturing; path to 2027 BLA; autoimmune CAR-T.",https://cabalettabio.com,"Pivotal trial started; FDA-cleared automated manufacturing; 2027 BLA path."
newcleo,newcleo.com,Energy,Nuclear,SMR,FUNDING_LADDER,8,2026-02-08,"€75M (~$88M) raised; total funding >€645M; accelerating US expansion.",https://newcleo.com,"€75M raise; >€645M total; US expansion accelerating."
