Company,Industry,HQ Location,Country,Ownership,Ticker,Segment,Tier,Signal,Signal Date,Score,Source URL,Messaging Hook
TSMC,semiconductor,"Hsinchu, Taiwan / Phoenix, AZ",Taiwan,Public,TSM,Fabs,A,$165B total US investment announced Mar 2025; $65B Arizona 3-fab complex; Fab 1 producing Q4 2024; 900 acres purchased for expansion; 6 fabs + 2 packaging plants planned,2025-03,10,https://pr.tsmc.com/english/news/3210,$165B US commitment; Arizona mega-complex
Castelion,aerospace,"El Segundo, CA",USA,Private,,Hypersonics,A,$350M Series B + Project Ranger 1000-acre NM manufacturing campus,Dec 2025,10,https://www.castelion.com/news/series-b/,Your $350M raise and Project Ranger campus signal hypersonic production at scale
Hitachi Energy,grid-transmission,"Zurich, Switzerland",Switzerland,Public,Hitachi,Transformers,A,$1B+ US investment; $457M South Boston VA 2nd facility Sept 2025; $106M Alamo TN expansion; $6B global 2024,2025,10,https://www.manufacturingdive.com/news/hitachi-unveils-1b-grid-manufacturing-investment-virginia-transformer/759512/,$1B US grid investment; VA + TN expansion
LG Energy Solution,battery-expanded,"Seoul, South Korea / Holland MI",Korea,Public,373220.KS,EV Battery + Storage,A,$5.5B Arizona complex (cylindrical EV + LFP ESS); $3B Michigan expansion 5x capacity; Holland LFP plant open Jun 2025,2025,10,https://news.lgensol.com/company-news/press-releases/2592/,Arizona + Michigan mega-investments; US ESS cell leader
Tesla Energy,battery-expanded,"Palo Alto, CA / Lathrop CA",USA,Public,TSLA,Grid Storage,A,40 GWh Lathrop Megafactory; 10000th Megapack Nov 2024; $150M+ Texas expansion 2026; 31.4 GWh deployed 2024,2025,10,https://www.tesla.com/megafactory,Lathrop + Texas expansion; grid storage leader
TerraPower,smr-nuclear,"Bellevue, WA",USA,Private,,SMR Developer,A,Wyoming Natrium plant under construction; state permit approved Jan 2025; training center Aug 2025; DOE ARDP funding,2025,10,https://www.ans.org/news/2025-01-16/article-6690/wyoming-oks-construction-of-terrapowers-natrium-plant/,Kemmerer WY plant under construction; Bill Gates backed
X-energy,smr-nuclear,"Rockville, MD",USA,Private,,SMR Developer,A,Oak Ridge TRISO fuel facility construction Nov 2025; Dow Seadrift TX 4-unit plant; operations 2027,2025,10,https://x-energy.com/media/news-releases/x-energy-begins-vertical-construction-for-first-in-the-nation-advanced-nuclear-fuel-fabrication-facility,Oak Ridge fuel facility + Dow Texas plant
Oklo,smr-nuclear,"Santa Clara, CA",USA,Public,OKLO,SMR Developer,A,12 GW Switch data center deal through 2044; Idaho plant groundbreaking Sept 2025; $2B fuel development funding,2025,10,https://en.wikipedia.org/wiki/Oklo_Inc.,12 GW data center deal; Sam Altman backed
First Solar,solar-manufacturing,"Tempe, AZ",USA,Public,FSLR,Modules,A,$1.1B Alabama factory opened 2024 (3.5 GW); Louisiana $1.1B plant Q3 2025 (3.5 GW); Ohio 3 plants; 14.5 GW US capacity; new 3.7 GW plant 2026,2025,10,https://www.pv-tech.org/first-solar-to-open-new-3-7gw-us-manufacturing-plant-in-2026/,14.5 GW US capacity; $4B+ investment; new plants opening
Hanwha Qcells,solar-manufacturing,"Seoul, Korea / Dalton GA",Korea,Public,009830.KS,Integrated,A,$2.5B Cartersville GA fully integrated (3.3 GW); 8.4 GW total GA capacity; only NA company with full supply chain 2025,2025,10,https://us.qcells.com/blog/qcells-invests-2-5-billion-in-building-complete-solar-supply-chain-in-u-s/,$2.5B GA investment; only full US supply chain
Vulcan Elements,rare-earth-processing,Durham NC,,Private,,Magnet Manufacturing,A,"$918M investment + $620M DoD loan + 1,000 jobs in Benson NC — largest magnet factory outside China",Nov 2025,10,https://governor.nc.gov/news/press-releases/2025/11/18/governor-stein-announces-vulcan-elements-selects-johnston-county-1000-job-magnet-factory-investing-0,Your Benson facility will be world's largest non-China magnet factory — as you scale are additional facilities planned?
Intel,semiconductor,"Santa Clara, CA",USA,Public,INTC,Fabs,A,$8.5B CHIPS Act award; Fab 52 Chandler opened Oct 2025; $100B Ohio megafab (2 fabs); 18A process; Intel Foundry Services,2025,9,https://www.nist.gov/chips/intel-corporation-arizona-chandler,Ohio + Arizona expansion; IDM 2.0
