Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Plug Power,plugpower.com,"Latham, NY",USA,,Public,PLUG,1997,Electrolyzers + Fuel Cells,PEM Electrolyzer,A,Event,"95+ MW electrolyzer capacity delivered; 100MW Galp Portugal project; Georgia + Tennessee production facilities",2025,8,https://www.plugpower.com/plug-power-2025-a-year-of-momentum-milestones-and-meaningful-progress/,US electrolyzer leader; GA + TN manufacturing,Material handling + hydrogen production
Nel ASA,nelhydrogen.com,"Oslo, Norway",Norway,,Public,NEL.OL,1927,Electrolyzers,Alkaline + PEM,A,Event,"Acquired Green Hydrogen Systems assets Jun 2025; alkaline + PEM technology; scaling production",2025,8,https://www.marketsandmarkets.com/ResearchInsight/electrolyzers-market.asp,GHS acquisition; dual technology leader,Norwegian hydrogen pioneer
Thyssenkrupp Nucera,thyssenkrupp-nucera.com,"Dortmund, Germany",Germany,,Public,NCH2.DE,2015,Electrolyzers,Alkaline,A,Event,"3+ GW electrolyzer capacity supplying; 110 NEOM modules completed; 2 GW Air Products Saudi order",2025,9,https://za.investing.com/news/company-news/thyssenkrupp-nucera-q4-2025-slides-delivers-on-targets-amid-green-hydrogen-headwinds-93CH-4032579,NEOM 110 modules completed; 3+ GW delivered,World's largest electrolyzer projects
ITM Power,itm-power.com,"Sheffield, UK",UK,,Public,ITM.L,2001,Electrolyzers,PEM,A,Event,"98% FAT first-time-pass rate Jan 2025 (up from 50%); record orders 2025; UK PEM leader",2025,8,https://enkiai.com/ai-market-intelligence/itm-powers-2025-surge-record-green-hydrogen-orders,Record orders; 98% quality rate,UK PEM electrolyzer specialist
Bloom Energy,bloomenergy.com,"San Jose, CA",USA,,Public,BE,2001,Fuel Cells + Electrolyzers,Solid Oxide,A,Event,"TIME Best Invention 2025; 60% electrical efficiency; SK Eternix Korea partnership; data center focus",2025,9,https://fuelcellsworks.com/2025/10/28/fuel-cells/bloom-energy-s-fuel-cell-platform-named-one-of-time-s-best-inventions-of-2025,TIME Best Invention; data center power,SOFC + SOEC technology leader
Air Products,airproducts.com,"Allentown, PA",USA,,Public,APD,1940,Hydrogen Production,Blue + Green H2,A,Event,"Louisiana Clean Energy Complex $7B decision 2025; 1700 tpd blue hydrogen; NEOM green H2 ongoing",2025,9,https://www.gasworld.com/story/air-products-sees-potential-path-forward-for-paused-louisiana-blue-hydrogen-project/2168127.article/,$7B Louisiana project decision 2025,World's largest hydrogen producer
Linde,linde.com,"Dublin, Ireland",Ireland,,Public,LIN,1879,Hydrogen Production,Blue + Green H2,A,Event,"35 MW Niagara Falls green H2 facility with Cummins electrolyzer; hydropower-fed liquid H2",2025,8,https://www.airswift.com/blog/green-hydrogen-projects-usa,Niagara Falls green H2; largest US project,#1 industrial gas company
Cummins Accelera,accelerazero.com,"Columbus, IN",USA,,Public,CMI,1919,Electrolyzers,PEM,A,Event,"Fridley MN 89K sqft electrolyzer facility; 35 MW system to Linde; largest US-made electrolyzer; 100+ jobs",2025,8,https://www.cummins.com/news/releases/2025/09/03/accelera-cummins-delivers-its-largest-electrolyzer-system-hydrogen,Minnesota US electrolyzer manufacturing,Cummins hydrogen division
Electric Hydrogen,eh2.com,"Natick, MA",USA,,Private,,2020,Electrolyzers,PEM,A,Event,"$220M+ raised; 1 GW/year stack production target; HIF Texas e-Fuels project supplier",2025,8,https://eh2.com/,HIF Texas contract; GW-scale production,High-growth electrolyzer startup
Ohmium,ohmium.com,"Fremont, CA",USA,,Private,,2019,Electrolyzers,PEM,A,Event,"$250M Series C from TPG; modular PEM systems; rapid production ramp",2024,8,https://pubs.acs.org/doi/10.1021/cen-10115-buscon7,$250M Series C; production scaling,Modular electrolyzer systems
