Company,Industry,HQ Location,Country,Ownership,Ticker,Segment,Tier,Signal,Signal Date,Score,Source URL,Messaging Hook
TSMC,semiconductor,"Hsinchu, Taiwan / Phoenix, AZ",Taiwan,Public,TSM,Fabs,A,$165B total US investment announced Mar 2025; $65B Arizona 3-fab complex; Fab 1 producing Q4 2024; 900 acres purchased for expansion; 6 fabs + 2 packaging plants planned,2025-03,10,https://pr.tsmc.com/english/news/3210,$165B US commitment; Arizona mega-complex
Castelion,aerospace,"El Segundo, CA",USA,Private,,Hypersonics,A,$350M Series B + Project Ranger 1000-acre NM manufacturing campus,Dec 2025,10,https://www.castelion.com/news/series-b/,Your $350M raise and Project Ranger campus signal hypersonic production at scale
CesiumAstro,space-industry,"Austin, TX",,Private,,Spacecraft Components & Subsystems,A,"$470M Series C; building 270,000 sq ft HQ/manufacturing facility; 500+ jobs planned",2026-02,10,https://spacenews.com/cesiumastro-to-scale-operations-with-450-million-in-equity-and-debt-financing/,Major Texas expansion; workforce development programs
Hitachi Energy,grid-transmission,"Zurich, Switzerland",Switzerland,Public,Hitachi,Transformers,A,$1B+ US investment; $457M South Boston VA 2nd facility Sept 2025; $106M Alamo TN expansion; $6B global 2024,2025,10,https://www.manufacturingdive.com/news/hitachi-unveils-1b-grid-manufacturing-investment-virginia-transformer/759512/,$1B US grid investment; VA + TN expansion
GE Vernova Gas Power,grid-transmission,"Greenville, SC",USA,Public,GEV,Gas Turbines,A,$160M Greenville expansion; 80 GW backlog by end 2025; 80 turbines/year capacity; Duke Energy major deal; HA turbine 3M hours,2025,10,https://www.utilitydive.com/news/ge-vernova-gas-turbine-investor/807662/,80 GW backlog; Greenville SC expansion
Apptronik,robotics-oem,Austin TX,,Private,,Humanoid Robots,A,$350M Series A (Google-backed) + $5B valuation + leasing new space to ramp Apollo production,Feb 2025,10,https://www.reuters.com/technology/apptronik-raises-350-million-scale-production-humanoid-robots-2025-02-13/,Your $350M raise and production ramp for Apollo humanoids signals massive scaling — as manufacturing expands have you evaluated sites beyond Austin?
LG Energy Solution,battery-expanded,"Seoul, South Korea / Holland MI",Korea,Public,373220.KS,EV Battery + Storage,A,$5.5B Arizona complex (cylindrical EV + LFP ESS); $3B Michigan expansion 5x capacity; Holland LFP plant open Jun 2025,2025,10,https://news.lgensol.com/company-news/press-releases/2592/,Arizona + Michigan mega-investments; US ESS cell leader
Tesla Energy,battery-expanded,"Palo Alto, CA / Lathrop CA",USA,Public,TSLA,Grid Storage,A,40 GWh Lathrop Megafactory; 10000th Megapack Nov 2024; $150M+ Texas expansion 2026; 31.4 GWh deployed 2024,2025,10,https://www.tesla.com/megafactory,Lathrop + Texas expansion; grid storage leader
TerraPower,smr-nuclear,"Bellevue, WA",USA,Private,,SMR Developer,A,Wyoming Natrium plant under construction; state permit approved Jan 2025; training center Aug 2025; DOE ARDP funding,2025,10,https://www.ans.org/news/2025-01-16/article-6690/wyoming-oks-construction-of-terrapowers-natrium-plant/,Kemmerer WY plant under construction; Bill Gates backed
X-energy,smr-nuclear,"Rockville, MD",USA,Private,,SMR Developer,A,Oak Ridge TRISO fuel facility construction Nov 2025; Dow Seadrift TX 4-unit plant; operations 2027,2025,10,https://x-energy.com/media/news-releases/x-energy-begins-vertical-construction-for-first-in-the-nation-advanced-nuclear-fuel-fabrication-facility,Oak Ridge fuel facility + Dow Texas plant
Oklo,smr-nuclear,"Santa Clara, CA",USA,Public,OKLO,SMR Developer,A,12 GW Switch data center deal through 2044; Idaho plant groundbreaking Sept 2025; $2B fuel development funding,2025,10,https://en.wikipedia.org/wiki/Oklo_Inc.,12 GW data center deal; Sam Altman backed
First Solar,solar-manufacturing,"Tempe, AZ",USA,Public,FSLR,Modules,A,$1.1B Alabama factory opened 2024 (3.5 GW); Louisiana $1.1B plant Q3 2025 (3.5 GW); Ohio 3 plants; 14.5 GW US capacity; new 3.7 GW plant 2026,2025,10,https://www.pv-tech.org/first-solar-to-open-new-3-7gw-us-manufacturing-plant-in-2026/,14.5 GW US capacity; $4B+ investment; new plants opening
