Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
First Solar,firstsolar.com,"Tempe, AZ",USA,,Public,FSLR,1999,Modules,Thin-Film CdTe,A,Event,"$1.1B Alabama factory opened 2024 (3.5 GW); Louisiana $1.1B plant Q3 2025 (3.5 GW); Ohio 3 plants; 14.5 GW US capacity; new 3.7 GW plant 2026",2025,10,https://www.pv-tech.org/first-solar-to-open-new-3-7gw-us-manufacturing-plant-in-2026/,14.5 GW US capacity; $4B+ investment; new plants opening,Only major US-owned solar manufacturer
Hanwha Qcells,us.qcells.com,"Seoul, Korea / Dalton GA",Korea,,Public,009830.KS,1999,Integrated,Ingot-to-Module,A,Event,"$2.5B Cartersville GA fully integrated (3.3 GW); 8.4 GW total GA capacity; only NA company with full supply chain 2025",2025,10,https://us.qcells.com/blog/qcells-invests-2-5-billion-in-building-complete-solar-supply-chain-in-u-s/,$2.5B GA investment; only full US supply chain,Largest single solar manufacturing investment in US history
Trina Solar (T1 Energy),trinasolar.com,"Changzhou, China / Wilmer TX",China,,Public,688599.SS,1997,Modules,Crystalline Si,A,Event,"$200M 5 GW Texas module plant opened; expansion in 2025; rebranded T1 Energy for US ops",2024-2025,7,https://www.sunhub.com/blog/top-5-american-solar-panel-manufacturers-in-2025/,5 GW Texas module factory,Chinese-owned but US manufacturing
JinkoSolar,jinkosolar.com,"Shanghai, China / Jacksonville FL",China,,Public,JKS,2006,Modules,Crystalline Si,A,Event,"Jacksonville FL 2 GW module factory; $67M investment; 600 jobs; operational 2024",2024,7,https://finance.yahoo.com/news/factbox-chinese-owned-solar-factories-100904217.html,2 GW Florida factory operational,Top 5 global module maker
LONGi Green Energy,longi.com,"Xi'an, China / Ohio",China,,Public,601012.SS,2000,Modules,Crystalline Si,B,Event,"Ohio module factory partnership announced Mar 2024; operations Q1 2025",2025,6,https://unicorn-sd.com/jinkosolar-trina-solar-ja-solar-longi-and-csi-solar-considered-the-worlds-top-five-module-manufacturers-have-established-or-plan-to-construct-manufacturing-facilities-in-the-us/,Ohio factory partnership,World's largest wafer manufacturer
Canadian Solar,canadiansolar.com,"Guelph, ON Canada / Mesquite TX",Canada,,Public,CSIQ,2001,Integrated,Modules + Cells + Storage,A,Event,"3 US facilities: modules + cells + e-STORAGE; $3.2B backlog; 81 GWh storage pipeline; Texas expansion",2025,8,https://investors.canadiansolar.com/news-releases/news-release-details/canadian-solar-reports-fourth-quarter-and-full-year-2024-results,$3.2B backlog; modules + cells + storage US manufacturing,Top 5 global; major US storage player
JA Solar,jasolar.com,"Beijing, China / Phoenix AZ",China,,Public,002459.SZ,2005,Modules,Crystalline Si,B,Event,"Phoenix AZ 2 GW module factory announced; targeting US domestic content",2024,5,https://unicorn-sd.com/jinkosolar-trina-solar-ja-solar-longi-and-csi-solar-considered-the-worlds-top-five-module-manufacturers-have-established-or-plan-to-construct-manufacturing-facilities-in-the-us/,Phoenix AZ factory planned,Top 5 global module maker
Illuminate USA (LONGi),illuminateusa.solar,"Pataskala, OH",USA,,Private,LONGi JV,2023,Modules,Crystalline Si,A,Event,"$600M investment; 5 GW Ohio factory; 1,000 workers; full capacity end 2024",2024,8,https://finance.yahoo.com/news/factbox-chinese-owned-solar-factories-100904217.html,$600M Ohio factory; LONGi JV,US-LONGi joint venture
Silfab Solar,silfabsolar.com,"Mississauga, ON Canada / Burlington WA",Canada,,Private,,2010,Modules,Crystalline Si,B,Event,"Burlington WA + Fort Mill SC facilities; 1.3 GW combined capacity; North American focused",2024,6,https://silfabsolar.com/our-story/,WA + SC manufacturing; North American made,Premium residential/commercial modules
Heliene,heliene.com,"Sault Ste. Marie, ON Canada / Mountain Iron MN",Canada,,Private,,2010,Modules,Crystalline Si,B,Event,"Minnesota facility operational; Canadian + US manufacturing; Iron Range expansion",2024,6,https://www.solarpowerworldonline.com/2023/10/3sun-expects-its-american-made-solar-cells-to-enter-market-in-2025/,Minnesota + Ontario manufacturing,North American module maker
