company_name,website,industry,segment,sub_segment,signal_code,signal_score,signal_date,signal_text,source_url,messaging_hook
TSMC,tsmc.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,10,2025-03,$165B total US investment announced Mar 2025; $65B Arizona 3-fab complex; Fab 1 producing Q4 2024; 900 acres purchased for expansion; 6 fabs + 2 packaging plants planned,https://pr.tsmc.com/english/news/3210,$165B US commitment; Arizona mega-complex
Intel,intel.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,9,2025,$8.5B CHIPS Act award; Fab 52 Chandler opened Oct 2025; $100B Ohio megafab (2 fabs); 18A process; Intel Foundry Services,https://www.nist.gov/chips/intel-corporation-arizona-chandler,Ohio + Arizona expansion; IDM 2.0
Samsung Foundry,samsung.com/semiconductor,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,$44B Taylor Texas fab (delayed to 2027); $250M Texas state grant; 2nm GAA planned,https://koreajoongangdaily.joins.com/news/2025-08-27/business/industry/Exclusive-Taylor-plots-hightech-cluster-as-Samsungs-37B-chip-fab-nears-completion/2383950,Taylor Texas mega-fab; delayed but committed
GlobalFoundries,gf.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,9,2025-06,$16B US investment Jun 2025; $1.5B CHIPS award; Malta NY 358K sqft new fab; Vermont modernization; advanced packaging center,https://gf.com/gf-press-release/globalfoundries-announces-16b-u-s-investment-to-reshore-essential-chip-manufacturing-and-accelerate-ai-growth/,NY + Vermont expansion; mature node leader
Micron,micron.com,Semiconductors,Semiconductors,Fabs & Foundries,FUNDING_LADDER,9,2025-06,$6.4B CHIPS funding; 2nd Boise fab announced Jun 2025; NY Clay megafab ($100B); Virginia expansion; HBM manufacturing in US,https://investors.micron.com/news-releases/news-release-details/micron-and-trump-administration-announce-expanded-us-investments,Idaho + NY + VA expansion; HBM for AI
Texas Instruments,ti.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,9,2025-12,$60B+ across 7 fabs in Texas and Utah; Sherman TX fab opened Dec 2025; 300mm analog leader; largest foundational chip investment in US history,https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-begins-production-at-its-newest-300mm-semiconductor-manufacturing-facility-in-sherman-texas.html,Sherman producing; $60B commitment
Wolfspeed,wolfspeed.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,9,2024-2025,World's largest SiC fab in Siler City NC (topped out Mar 2024); Marcy NY expansion; CHIPS preliminary terms Oct 2024; 59 SEC filings mentioning expansion/capacity,https://www.nist.gov/news-events/news/2024/10/biden-harris-administration-announces-preliminary-terms-wolfspeed-solidify,SiC leader; NC + NY expansion; HIGH SEC SIGNAL ACTIVITY
ON Semiconductor,onsemi.com,Semiconductors,Semiconductors,Fabs & Foundries,FUNDING_LADDER,7,2024-2025,SiC fab expansion South Korea completed; US CHIPS funding for SiC epitaxial expansion,https://www.semiconductors.org/chip-supply-chain-investments/,SiC power semiconductor expansion
SK Hynix,skhynix.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2024-2025,Indiana packaging facility with Purdue ($3.87B); HBM leader for NVIDIA,https://www.semiconductors.org/chip-supply-chain-investments/,Indiana advanced packaging; HBM leader
ASML,asml.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,9,2025,$200M Connecticut expansion; 1000 new jobs; EUV monopoly; critical to all leading-edge fabs,https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,Connecticut expansion; EUV monopoly
Applied Materials,appliedmaterials.com,Semiconductors,Semiconductors,Fabs & Foundries,OEM_PARTNER,8,2025,$200M Arizona investment; $400M+ US expansion; Apple partnership; 6th consecutive growth year FY2025,https://www.trendforce.com/news/2025/09/02/news-applied-materials-reportedly-sees-limited-u-s-incentive-effect-offers-nuanced-view-on-china/,Arizona expansion; Apple partnership
Lam Research,lamresearch.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,8,2025-11,$65M Oregon Tualatin facility opened Nov 2025; 700 workers; R&D expansion for AI chips,https://www.oregonlive.com/silicon-forest/2025/11/lam-research-opens-65-million-tualatin-office-with-room-for-700-workers.html,Oregon R&D expansion
Tokyo Electron,tel.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,8,2025,$170M US chip equipment facility 2025; aiming for US production parity with Japan,https://asia.nikkei.com/business/tech/semiconductors/tokyo-electron-aims-to-boost-us-manufacturing-to-same-level-as-japan,US manufacturing ramp; Austin HQ
KLA,kla.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2024-2025,Process control leader; essential for yield management; Ann Arbor R&D,https://www.kla.com/,Inspection/metrology leader
Axcelis Technologies,axcelis.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025-09,Purion Power Series+ launched Sept 2025 for SiC; $6B market opportunity by 2030; 4 SEC filings re: expansion,https://investor.axcelis.com/news-releases/news-release-details/axcelis-announces-launch-companys-new-purion-power-series-ion,SiC ion implant leader; new platform
Onto Innovation,ontoinnovation.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Advanced packaging metrology; 3D inspection,https://www.ontoinnovation.com/,Advanced packaging metrology
Entegris,entegris.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,8,2025,$1.4B total US investment; $700M R&D; $600M Colorado Springs manufacturing; Aurora IL tech center,https://evertiq.com/news/2025-08-22-entegris-announces-700-million-investment-in-us,Colorado + Illinois expansion; $1.4B US commitment
Shin-Etsu Chemical,shinetsu.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,World's largest silicon wafer supplier; photoresist leader,https://www.shinetsu.co.jp/en/,Global wafer leader
Air Products,airproducts.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Electronic specialty gases for fabs; US-based,https://www.airproducts.com/,US specialty gas supplier
Linde,linde.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Electronic gases and on-site supply; major fab supplier,https://www.linde.com/,Electronic gases leader
CMC Materials (Entegris),cmcmaterials.com,Semiconductors,Semiconductors,Fabs & Foundries,,CMP consumables leader; acquired by Entegris,Tailwind,B,2024,4
Amkor Technology,amkor.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2024-2025,Arizona facility expansion; advanced packaging for AI/HPC,https://www.amkor.com/,US advanced packaging leader
