Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Archer Aviation,archeraviation.com,"San Jose, CA",USA,,Public,ACHR,2018,eVTOL,Urban Air Taxi,A,Event,"43 SEC filings re: expansion/manufacturing; FAA certification progress; Georgia manufacturing facility",2025-2026,9,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1824502,Manufacturing scale-up underway; HIGH SEC SIGNAL ACTIVITY,CIK 1824502; Midnight aircraft
Joby Aviation,jobyaviation.com,"Santa Cruz, CA",USA,,Public,JOBY,2009,eVTOL,Urban Air Taxi,A,Event,"36 SEC filings re: expansion; Toyota alliance; FAA certification on track; Marina CA manufacturing",2025-2026,9,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1819848,Toyota-backed manufacturing; certification leader,CIK 1819848; S4 aircraft
Beta Technologies,beta.team,"Burlington, VT",USA,,Private,,2017,eVTOL,Cargo/Regional,A,Event,"Charging network buildout; UPS partnership; Vermont manufacturing facility expansion",2025,8,https://beta.team/news/,Cargo-first approach; charging infrastructure,ALIA aircraft; 250+ mile range
Eve Air Mobility,eveairmobility.com,"Melbourne, FL",USA/Brazil,,Public,EVEX,2020,eVTOL,Urban Air Taxi,A,Event,"17 SEC filings; Embraer backing; $5B+ order backlog; US manufacturing planned",2025-2026,8,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1823652,Embraer aerospace expertise; strong backlog,CIK 1823652; Embraer spinoff
Wisk Aero,wisk.aero,"Mountain View, CA",USA,,Private,,2019,eVTOL,Autonomous,A,Tailwind,"Boeing subsidiary; autonomous air taxi; FAA certification path",2025,7,https://wisk.aero/news/,Boeing-backed autonomous leader,6th generation aircraft; Boeing/Kitty Hawk JV
Supernal,supernal.aero,"Washington, DC",USA,,Private,,2021,eVTOL,Urban Air Taxi,B,Tailwind,"Hyundai subsidiary; automotive manufacturing expertise; targeting 2028 launch",2025,6,https://supernal.aero/,Hyundai auto manufacturing scale,SA-2 aircraft
Textron eAviation,txtav.com,"Wichita, KS",USA,,Public,TXT,2022,eVTOL,Regional,B,Tailwind,"Textron Aviation subsidiary; Nexus eVTOL program",2025,5,https://txtav.com/,Established aerospace OEM,Bell heritage
Lilium,lilium.com,"Munich, Germany",Germany,,Public,LILM,2015,eVTOL,Regional,A,Event,"36-motor Lilium Jet; European certification; targeting premium regional market",2025,7,https://lilium.com/newsroom,Regional air mobility pioneer,Pioneer Edition $10M
Vertical Aerospace,vertical-aerospace.com,"Bristol, UK",UK,,Public,EVTL,2016,eVTOL,Urban Air Taxi,A,Event,"VX4 aircraft; American Airlines partnership; Rolls-Royce motors",2025,7,https://vertical-aerospace.com/news/,Major airline partnerships,Stephen Fitzpatrick founder
Volocopter,volocopter.com,"Bruchsal, Germany",Germany,,Private,,2011,eVTOL,Urban Air Taxi,B,Tailwind,"VoloCity; Paris Olympics demo; European certification",2025,6,https://www.volocopter.com/newsroom/,European certification leader,18-rotor design
Castelion,castelion.com,"El Segundo, CA",USA,,Private,,2022,Hypersonics,Weapons System,A,Event,"$350M Series B + Project Ranger 1000-acre NM manufacturing campus",Dec 2025,10,https://www.castelion.com/news/series-b/,Your $350M raise and Project Ranger campus signal hypersonic production at scale,Ex-SpaceX founders; complete hypersonic weapons
Cambium,cambium-usa.com,"Stealth Mode",USA,,Private,,Unknown,Hypersonics,Thermal Protection,A,Event,"$100M Series B + Navy ONR TPS contract for phthalonitrile materials",2025,10,https://www.tectonicdefense.com/advanced-materials-startup-cambium-raises-100m-series-b/,Your $100M raise and Navy contract signal TPS manufacturing scale-up,ApexShield 1000; 80% faster C-C fabrication
Kratos Defense,kratosdefense.com,"San Diego, CA",USA,,Public,KTOS,1994,Hypersonics,Weapons/Testing,A,Event,"60 Zeus hypersonic motors ordered from L3Harris + multiple DoD contracts",Dec 2025,10,https://www.kratosdefense.com/newsroom/kratos-issues-letter-of-intent-for-60-full-rate-production-zeus-hypersonic-system-rocket-motors-from-l3harris,Back-to-back hypersonic contracts signal production expansion,Project Helios; Zeus 1 and Zeus 2 motors
Hermeus,hermeus.com,"Atlanta, GA",USA,,Private,,2018,Hypersonics,Aircraft/Propulsion,A,Event,"$100M Series B (Sam Altman) + USAF contracts for Mach 5 aircraft",Oct 2025,9,https://www.hermeus.com/newsroom-content/hermeus-raises-100-million-series-b-led-by-sam-altman,Sam Altman backing + Air Force partnership signals hypersonic aircraft momentum,Quarterhorse and Darkhorse aircraft
Dynetics (Leidos),leidos.com,"Huntsville, AL",USA,,Public,LDOS,1974,Hypersonics,Glide Body/TPS,A,Event,"$670.5M Army contract for common hypersonic glide body and TPS",Nov 2024,9,https://www.govconwire.com/articles/dynetics-670m-army-contract-for-hypersonic-system,Your $670M Army contract suggests major production ramp-up in Huntsville,Leidos subsidiary; 5-year contract
