company_slug,signal_type,urgency,title,description,source_url,signal_date
tsmc,facility_expansion,type_2,TSMC $165B US Investment Announced,$165B total US investment through 2030; Arizona 3-fab complex; 6 fabs + 2 packaging plants planned,https://pr.tsmc.com/english/news/3210,2025-03-01
intel,facility_expansion,type_2,Intel Ohio Megafab + CHIPS Award,$8.5B CHIPS Act award; $100B Ohio megafab (2 fabs); Fab 52 Chandler opened Oct 2025,https://www.nist.gov/chips/intel-corporation-arizona-chandler,2025-10-01
globalfoundries,facility_expansion,type_2,GlobalFoundries $16B US Investment,$16B US investment Jun 2025; Malta NY 358K sqft new fab; Vermont modernization,https://gf.com/gf-press-release/globalfoundries-announces-16b-u-s-investment/,2025-06-01
micron,facility_expansion,type_2,Micron NY + Idaho + VA Expansion,$6.4B CHIPS funding; 2nd Boise fab Jun 2025; NY Clay megafab ($100B); Virginia expansion,https://investors.micron.com/news-releases/news-release-details/micron-and-trump-administration-announce-expanded-us-investments,2025-06-01
rapidus,facility_expansion,type_1,Rapidus First 2nm Chips July 2025,Japan 2nm fab; first GAA transistors Jul 2025; $5.4B subsidies FY2025; mass production 2027 target,https://en.wikipedia.org/wiki/Rapidus,2025-07-01
soulbrain,facility_expansion,type_1,Soulbrain Taylor TX Plant Construction,$175M Taylor Texas plant for Samsung; high-purity phosphoric acid; construction starting Jan 2025,https://www.statesman.com/story/news/local/2024/07/29/samsung-semiconductors-plant-taylor-texas-south-korean-company-soulbrain-tx-llc-invest/74562610007/,2025-01-01
texas-instruments,facility_expansion,type_2,Texas Instruments Sherman Fab Opens,$60B+ across 7 fabs in Texas and Utah; Sherman TX fab opened Dec 2025; 300mm analog leader,https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-begins-production-at-its-newest-300mm-semiconductor-manufacturing-facility-in-sherman-texas.html,2025-12-01
ibiden,facility_expansion,type_2,Ibiden $3.3B Japan Expansion,$3.3B investment over 3 years from FY2026; new Gifu factory late 2025; 40% AI server output boost,https://www.digitimes.com/news/a20260204PD227/ibiden-expansion-capacity-production-plant.html,2025-12-01
asml,facility_expansion,type_2,ASML Connecticut $200M Expansion,$200M Connecticut expansion; 1000 new jobs; EUV monopoly,https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,2025-01-01
ams-osram,facility_expansion,type_2,ams-OSRAM €227M EU Chips Act Funding,€227M EU Chips Act funding Feb 2025; €567M investment by 2030; Austria fab expansion,https://ams-osram.com/news/press-releases/european-chips-act,2025-02-01
powertech-technology-pti,facility_expansion,type_2,Powertech $1B Panel Packaging Expansion,$1B FOPLP expansion by 2026; 6000-7000 WPM capacity; panel-level packaging leader,https://www.digitimes.com/news/a20251029PD215/pti-foplp-packaging-expansion-testing.html,2025-10-01
skywater-technology,acquisition,type_2,SkyWater Acquires Infineon Austin Fab,Acquiring Infineon Austin fab Feb 2025 for 65-130nm capacity; US-only trusted foundry,https://www.skywatertechnology.com/skywater-to-acquire-infineons-austin-fab/,2025-02-01
polar-semiconductor,facility_expansion,type_2,Polar Semiconductor $525M Minnesota Expansion,$525M expansion; $123M CHIPS award; doubles capacity; 160+ new jobs,https://www.nist.gov/chips/polar-semiconductor-minnesota-bloomington,2024-05-01
umc,facility_expansion,type_2,UMC Singapore Fab Phase 3 Opening,New Singapore fab Phase 3 opening Apr 2025; 22nm production 2026; 700 new jobs,https://www.umc.com/en/News/press_release/Content/corporate/20250401,2025-04-01
vat-group,rd_investment,type_2,VAT Group New R&D Center April 2025,New R&D center opening April 2025; Haag production expansion for European customers,https://www.vatgroup.com/investor-relations/group-results,2025-04-01
