Company,Website,HQ Location,Employee Count,Ownership,Ticker,Founded,Parent Company,NAICS,Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Stoke Space,stokespace.com,"Kent, WA",,Private,,,,,Launch & Space Access,A,Event,"$510M Series D + $260M funding; scaling manufacturing for Nova reusable launch vehicle",2025-01,9,https://www.stokespace.com/stoke-space-technologies-raises-510-million-to-scale-manufacturing-of-fully-reusable-nova-launch-vehicle/,Manufacturing scale-up support; Kent facility expansion,Nearly $1B total funding in 2025; rapid scale-up
CesiumAstro,cesiumastro.com,"Austin, TX",,Private,,,,,Spacecraft Components & Subsystems,A,Event,"$470M Series C; building 270,000 sq ft HQ/manufacturing facility; 500+ jobs planned",2026-02,10,https://spacenews.com/cesiumastro-to-scale-operations-with-450-million-in-equity-and-debt-financing/,Major Texas expansion; workforce development programs,Texas Space Commission $10M grant; EXIM $200M financing
Blue Origin,blueorigin.com,"Kent, WA",,Private,,,,,Launch & Space Access,A,Event,"New Titusville FL manufacturing facility (100 jobs); Central Texas ~$1B expansion planned",2025-09,9,https://www.floridatoday.com/story/tech/science/space/2025/09/26/blue-origin-future-titusville-manufacturing-facility-to-employ-100-workers-in-brevard-county-florida/86350571007/,Florida facility expansion; advanced manufacturing,20 acres manufacturing + 80 acres logistics in Texas
Apex Space,apexspace.com,"Los Angeles, CA",,Private,,,,,Spacecraft & Satellite Systems,A,Event,"$200M Series C (April 2025); Factory One scaling to 100,000 sq ft; 200+ buses/year capacity",2025-04,9,https://www.prnewswire.com/news-releases/apex-raises-200-million-in-series-c-funding-to-increase-productized-satellite-bus-manufacturing-302440649.html,High-rate satellite manufacturing support; LA expansion,Shipped 3 satellites 2024; targeting 10 in 2025
Muon Space,muonspace.com,"San Jose, CA",,Private,,,,,Spacecraft & Satellite Systems,A,Event,"$146M Series B (June 2025); new 70,000 sq ft facility (10x expansion); acquired Starlight propulsion",2025-06,9,https://www.prnewswire.com/news-releases/muon-space-completes-146-million-series-b-to-scale-satellite-constellations-for-defense-and-commercial-missions-302479524.html,San Jose manufacturing expansion; cleanroom capacity,30k sq ft cleanroom across multiple classes
True Anomaly,trueanomaly.space,"Colorado Springs, CO",,Private,,,,,Data Software & Space Intelligence,A,Event,"90,000 sq ft Long Beach factory expansion; rapid growth in space defense",2025-02,8,https://www.trueanomaly.space/newsroom/true-anomaly-announces-significant-expansion-into-california-with-long-beach-campus,California manufacturing expansion; defense tech growth,GravityWorks CO facility + new Long Beach campus
Impulse Space,impulsespace.com,"Redondo Beach, CA",,Private,,,,,In-Space Services Logistics & Safety,A,Event,"$300M Series C (June 2025); NASA orbital transfer contract; scaling manufacturing",2025-06,9,https://www.impulsespace.com/updates/impulse-space-secures-300-million-dollar-series-c-to-accelerate-the-future-of-in-space-mobility,Manufacturing scale-up; Mojave test facility,Growing headcount; vertical integration strategy
Ursa Major,ursamajor.com,"Berthoud, CO",,Private,,,,,Launch & Space Access,A,Event,"$14.5M R&D center in Youngstown OH (July 2024); $138M Series D; $25M DoD joint investment",2024-07,9,https://executivebiz.com/2024/07/ursa-major-to-build-new-rocket-propulsion-tech-randd-center-in-ohio/,Ohio expansion opportunity; DoD propulsion growth,Additive manufacturing for rocket engines; solid rocket motors
Redwire,redwirespace.com,"Jacksonville, FL",,Public,RDW,,,Redwire Corporation,Spacecraft Components & Subsystems,A,Event,"New 65,000 sq ft Longmont CO facility (Oct 2025); 30,000 sq ft Indiana payload center (June 2024)",2025-10,8,https://rdw.com/newsroom/redwire-expands-footprint-in-colorado-with-opening-of-new-manufacturing-and-testing-facility-to-ramp-up-production-of-national-security-space-hardware/,Colorado expansion; national security space programs,Floyd County IN microgravity payload development
Umbra,umbra.space,"Santa Barbara, CA",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,A,Event,"New 50,000 sq ft Southern California manufacturing facility (June 2025); new Space Systems business",2025-06,8,https://umbra.space/blog/umbra-expands-u-s-production-capacity-with-move-to-new-50000-sq-ft-manufacturing-facility/,SAR manufacturing expansion; satellite components sales,4x imaging throughput with new facility
